R,L
1,1
1,242
1,83
1,6
1,165
1,7
1,175
1,167
1,248
1,88
1,89
1,173
1,256
1,92
1,275
1,265
1,67
1,130
1,101
1,29
1,163
1,69
1,188
1,200
1,35
1,304
1,111
1,224
1,322
1,238
1,42
1,198
1,44
1,45
1,201
1,204
1,134
1,124
1,206
1,207
1,274
1,211
1,57
1,131
1,279
1,24
1,305
1,135
1,136
1,294
1,310
1,36
1,145
1,98
1,52
1,70
1,152
1,38
1,234
1,306
1,296
1,76
2,2
2,41
2,165
2,192
2,296
2,35
2,128
2,234
2,92
2,201
3,3
3,165
3,234
3,92
3,201
4,4
5,5
5,143
5,188
5,61
6,6
6,1
6,140
6,242
6,83
6,165
6,7
6,248
6,89
6,256
6,92
6,275
6,24
6,29
6,21
6,188
6,120
6,35
6,38
6,238
6,41
6,42
6,289
6,45
6,201
6,265
6,204
6,134
6,206
6,52
6,54
6,274
6,128
6,213
6,303
6,304
6,305
6,307
6,309
6,62
6,220
6,311
6,312
6,200
6,98
6,69
6,70
6,124
6,234
6,76
7,7
7,1
7,239
7,242
7,83
7,6
7,165
7,42
7,248
7,68
7,88
7,89
7,211
7,256
7,174
7,92
7,175
7,24
7,314
7,27
7,29
7,163
7,52
7,188
7,200
7,35
7,111
7,37
7,238
7,41
7,265
7,198
7,289
7,45
7,201
7,204
7,134
7,206
7,296
7,274
7,128
7,57
7,131
7,304
7,305
7,309
7,62
7,310
7,36
7,207
7,312
7,224
7,98
7,69
7,70
7,192
7,152
7,234
7,306
7,76
8,8
8,198
8,175
8,167
8,98
8,69
8,70
8,188
8,211
8,321
8,24
9,9
9,165
10,10
10,41
10,314
10,201
10,192
10,69
10,89
10,35
10,234
10,92
10,165
10,76
11,11
11,41
11,175
11,24
11,248
11,188
11,98
11,69
11,70
11,89
11,105
11,234
11,76
11,304
12,12
12,92
13,13
13,305
13,42
13,165
13,248
13,35
13,234
13,76
14,14
14,69
15,15
15,201
15,69
15,89
16,16
16,234
17,17
17,201
17,234
18,18
18,89
18,304
19,19
19,165
20,20
20,304
21,21
21,6
21,165
21,312
21,89
21,274
21,128
21,234
21,92
21,201
22,22
22,304
23,23
23,165
24,24
24,1
24,242
24,6
24,165
24,7
24,8
24,167
24,248
24,11
24,89
24,128
24,173
24,92
24,175
24,314
24,273
24,244
24,188
24,35
24,192
24,38
24,41
24,198
24,289
24,45
24,201
24,294
24,206
24,296
24,274
24,211
24,57
24,234
24,304
24,305
24,136
24,309
24,62
24,80
24,98
24,69
24,70
24,321
24,76
25,25
25,41
25,165
25,234
25,92
25,201
26,26
26,222
27,27
27,46
27,7
27,62
27,200
27,165
27,312
27,190
27,88
27,35
27,174
27,92
27,234
28,28
28,201
28,70
28,89
29,29
29,1
29,239
29,242
29,83
29,6
29,165
29,7
29,248
29,68
29,88
29,89
29,92
29,265
29,314
29,188
29,200
29,192
29,41
29,42
29,198
29,289
29,120
29,201
29,204
29,52
29,296
29,274
29,128
29,57
29,131
29,304
29,305
29,309
29,62
29,312
29,206
29,98
29,69
29,70
29,152
29,234
29,306
29,76
30,30
30,234
30,201
31,31
31,201
32,32
32,41
32,165
32,89
32,234
32,201
33,33
33,234
34,34
34,248
34,89
34,234
34,201
34,304
35,35
35,1
35,2
35,239
35,13
35,242
35,83
35,6
35,165
35,7
35,175
35,248
35,10
35,88
35,89
35,92
35,57
35,265
35,314
35,101
35,148
35,187
35,188
35,189
35,36
35,180
35,38
35,238
35,27
35,166
35,117
35,41
35,42
35,289
35,120
35,201
35,204
35,294
35,206
35,52
35,274
35,128
35,129
35,131
35,152
35,304
35,305
35,322
35,307
35,309
35,220
35,111
35,73
35,24
35,200
35,192
35,98
35,272
35,69
35,70
35,124
35,234
35,306
35,296
35,76
36,36
36,1
36,165
36,7
36,248
36,88
36,89
36,92
36,314
36,35
36,192
36,41
36,42
36,45
36,201
36,296
36,274
36,128
36,57
36,305
36,62
36,312
36,98
36,69
36,70
36,234
36,306
36,76
37,37
37,305
37,312
37,41
37,165
37,7
37,248
37,88
37,274
37,128
37,234
37,92
37,201
38,38
38,1
38,242
38,6
38,165
38,248
38,89
38,92
38,57
38,24
38,314
38,188
38,35
38,192
38,41
38,42
38,289
38,201
38,296
38,274
38,128
38,212
38,304
38,305
38,62
38,98
38,69
38,70
38,234
38,76
39,39
39,165
39,92
39,201
39,234
40,40
40,274
40,165
41,41
41,2
41,6
41,7
41,175
41,10
41,11
41,275
41,24
41,25
41,29
41,185
41,32
41,35
41,36
41,37
41,38
41,42
41,45
41,49
41,50
41,51
41,52
41,56
41,57
41,58
41,62
41,63
41,98
41,69
41,70
41,71
41,75
41,76
41,79
41,81
41,83
41,84
41,85
41,88
41,89
41,173
41,91
41,92
41,97
41,99
41,117
41,119
41,124
41,126
41,128
41,131
41,132
41,137
41,221
41,148
41,152
41,153
41,154
41,155
41,156
41,159
41,165
41,167
41,168
41,55
41,183
41,182
41,189
41,191
41,238
41,188
41,198
41,200
41,201
41,204
41,206
41,274
41,211
41,212
41,216
41,220
41,80
41,224
41,225
41,229
41,232
41,234
41,194
41,239
41,242
41,248
41,256
41,259
41,265
41,266
41,314
41,282
41,286
41,289
41,293
41,294
41,299
41,304
41,305
41,307
41,309
