R,ev
1,2
2,1
3,1
4,2
5,2
6,2
7,1
8,2
9,1
10,1
11,2
12,3
13,1
14,2
15,3
16,2
17,2
18,2
19,1
20,2
21,1
22,2
23,1
24,2
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,2
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,3
43,2
44,2
45,1
46,2
47,2
48,2
49,2
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,2
59,1
60,3
61,2
62,3
63,2
64,1
65,3
66,2
67,1
68,1
69,3
70,2
71,1
72,2
73,1
74,3
75,1
76,2
77,3
78,2
79,1
80,1
81,1
82,2
83,1
84,1
85,1
86,2
87,2
88,2
89,1
90,2
91,3
92,1
93,2
94,1
95,2
96,2
97,1
98,2
99,1
100,2
101,1
102,1
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,1
112,1
113,3
114,1
115,2
116,2
117,1
118,3
119,1
120,1
121,3
122,2
123,2
124,1
125,2
126,1
127,1
128,1
129,1
130,2
131,3
132,1
133,2
134,2
135,1
136,2
137,1
138,2
139,2
140,1
141,1
142,1
143,2
144,1
145,2
146,2
147,2
148,1
149,1
150,2
151,1
152,1
153,1
154,3
155,1
156,1
157,2
158,2
159,1
160,1
161,1
162,2
163,2
164,2
165,1
166,2
167,2
168,1
169,1
170,2
171,2
172,1
173,2
174,2
175,2
176,2
177,2
178,3
179,1
180,1
181,1
182,2
183,1
184,3
185,1
186,2
187,1
188,2
189,1
190,2
191,1
192,1
193,1
194,1
195,2
196,1
197,2
198,2
199,2
200,1
201,1
202,2
203,3
204,2
205,2
206,1
207,2
208,2
209,2
210,2
211,2
212,1
213,1
214,2
215,2
216,1
217,2
218,2
219,2
220,1
221,1
222,1
223,2
224,1
225,1
226,2
227,2
228,2
229,1
230,1
231,2
232,1
233,2
234,1
235,2
236,1
237,2
238,1
239,1
240,2
241,2
242,1
243,1
244,2
245,2
246,2
247,2
248,1
249,2
250,1
251,2
252,2
253,1
254,2
255,1
256,1
257,1
258,1
259,1
260,2
261,1
262,3
263,1
264,1
265,1
266,1
267,2
268,1
269,2
270,2
271,2
272,1
273,2
274,1
275,2
276,2
277,2
278,1
279,2
280,2
281,2
282,2
283,1
284,3
285,1
286,1
287,1
288,2
289,1
290,2
291,1
292,2
293,3
294,1
295,2
296,1
297,2
298,1
299,1
300,1
301,1
302,1
303,2
304,3
305,3
306,3
307,1
308,3
309,1
310,2
311,1
312,1
313,1
314,1
315,2
316,2
317,1
318,2
319,1
320,1
321,2
322,1
