R,as
1,2
2,3
3,3
4,2
5,1
6,3
7,1
8,1
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,1
25,3
26,3
27,3
28,3
29,1
30,3
31,3
32,3
33,3
34,3
35,1
36,3
37,3
38,1
39,3
40,3
41,1
42,1
43,3
44,3
45,1
46,3
47,3
48,3
49,3
50,3
51,3
52,5
53,3
54,3
55,3
56,3
57,2
58,3
59,3
60,3
61,1
62,1
63,1
64,3
65,3
66,3
67,3
68,3
69,1
70,1
71,3
72,3
73,3
74,3
75,3
76,1
77,3
78,3
79,3
80,1
81,3
82,3
83,3
84,3
85,3
86,3
87,1
88,1
89,1
90,3
91,3
92,1
93,3
94,3
95,3
96,3
97,3
98,1
99,3
100,3
101,3
102,3
103,1
104,3
105,1
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,2
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,1
129,3
130,1
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,1
139,3
140,3
141,3
142,3
143,1
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,1
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,1
166,3
167,1
168,3
169,3
170,2
171,3
172,3
173,1
174,3
175,1
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,1
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,1
199,3
200,3
201,1
202,3
203,3
204,3
205,3
206,1
207,3
208,3
209,1
210,3
211,1
212,3
213,3
214,2
215,3
216,3
217,1
218,1
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,1
227,1
228,3
229,3
230,3
231,3
232,3
233,3
234,1
235,3
236,3
237,3
238,5
239,3
240,3
241,3
242,1
243,3
244,1
245,3
246,3
247,3
248,1
249,3
250,3
251,1
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,1
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,1
278,3
279,3
280,3
281,3
282,1
283,3
284,3
285,3
286,3
287,3
288,3
289,1
290,3
291,3
292,3
293,3
294,1
295,3
296,3
297,3
298,3
299,3
300,3
301,3
302,3
303,3
304,1
305,1
306,3
307,3
308,3
309,1
310,3
311,3
312,3
313,3
314,3
315,1
316,1
317,3
318,3
319,3
320,3
321,1
322,3
