R,ua
1,1
2,2
3,2
4,2
5,2
6,1
7,1
8,1
9,2
10,2
11,1
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,3
20,2
21,2
22,2
23,2
24,1
25,2
26,2
27,2
28,2
29,1
30,2
31,2
32,2
33,2
34,2
35,1
36,1
37,1
38,1
39,2
40,2
41,1
42,1
43,2
44,1
45,1
46,2
47,2
48,2
49,2
50,2
51,2
52,3
53,2
54,2
55,2
56,2
57,1
58,1
59,2
60,2
61,2
62,1
63,1
64,2
65,2
66,2
67,2
68,2
69,1
70,1
71,2
72,2
73,1
74,2
75,2
76,1
77,3
78,2
79,2
80,3
81,2
82,2
83,1
84,2
85,2
86,1
87,2
88,1
89,1
90,2
91,3
92,1
93,2
94,2
95,2
96,2
97,1
98,1
99,2
100,2
101,1
102,2
103,2
104,2
105,1
106,2
107,2
108,2
109,2
110,2
111,1
112,2
113,2
114,2
115,2
116,2
117,1
118,2
119,2
120,1
121,2
122,2
123,2
124,3
125,2
126,1
127,2
128,1
129,2
130,2
131,1
132,2
133,2
134,1
135,3
136,1
137,2
138,1
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,1
149,2
150,2
151,2
152,1
153,2
154,1
155,2
156,2
157,2
158,2
159,2
160,2
161,3
162,2
163,2
164,2
165,1
166,2
167,1
168,2
169,2
170,2
171,2
172,2
173,1
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,3
188,1
189,2
190,2
191,1
192,2
193,1
194,2
195,2
196,2
197,2
198,1
199,2
200,1
201,1
202,2
203,2
204,1
205,2
206,1
207,1
208,2
209,2
210,2
211,1
212,2
213,2
214,2
215,1
216,1
217,2
218,2
219,2
220,3
221,3
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,3
230,2
231,2
232,2
233,2
234,1
235,2
236,2
237,2
238,1
239,2
240,2
241,2
242,1
243,2
244,1
245,2
246,2
247,2
248,1
249,2
250,1
251,2
252,2
253,2
254,2
255,2
256,3
257,2
258,2
259,2
260,2
261,2
262,1
263,2
264,2
265,3
266,2
267,2
268,2
269,2
270,1
271,2
272,3
273,2
274,1
275,1
276,2
277,3
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,1
290,2
291,2
292,2
293,3
294,1
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,1
305,1
306,1
307,2
308,2
309,1
310,2
311,2
312,1
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,1
322,2
