R,b6
1,1
2,2
3,2
4,2
5,2
6,2
7,1
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,1
25,2
26,2
27,2
28,2
29,1
30,2
31,2
32,2
33,2
34,2
35,1
36,1
37,1
38,2
39,2
40,2
41,2
42,1
43,2
44,1
45,1
46,2
47,2
48,2
49,2
50,2
51,2
52,1
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,1
63,2
64,2
65,2
66,2
67,1
68,2
69,1
70,1
71,2
72,2
73,3
74,2
75,2
76,1
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,1
89,1
90,2
91,2
92,1
93,2
94,2
95,2
96,2
97,2
98,1
99,2
100,2
101,1
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,1
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,1
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,1
129,2
130,1
131,1
132,2
133,2
134,1
135,1
136,3
137,2
138,1
139,2
140,2
141,2
142,2
143,2
144,2
145,1
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,1
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,1
174,2
175,1
176,2
177,2
178,1
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,1
188,1
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,1
199,2
200,1
201,1
202,2
203,2
204,1
205,2
206,1
207,1
208,2
209,2
210,2
211,1
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,1
225,2
226,2
227,2
228,2
229,2
230,2
231,1
232,2
233,2
234,1
235,2
236,2
237,2
238,1
239,2
240,2
241,2
242,1
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,1
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,1
275,2
276,2
277,2
278,2
279,1
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,1
295,2
296,1
297,2
298,1
299,2
300,2
301,2
302,2
303,1
304,1
305,1
306,1
307,2
308,2
309,2
310,1
311,2
312,1
313,2
314,2
315,2
316,2
317,2
318,3
319,2
320,2
321,2
322,1
