R,ev
1,3
2,1
3,1
4,3
5,3
6,3
7,1
8,3
9,1
10,1
11,3
12,2
13,1
14,3
15,2
16,3
17,3
18,3
19,1
20,3
21,1
22,3
23,1
24,3
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,3
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,5
43,3
44,3
45,1
46,3
47,3
48,3
49,3
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,3
59,1
60,2
61,3
62,2
63,3
64,1
65,2
66,3
67,1
68,1
69,5
70,3
71,1
72,3
73,1
74,2
75,1
76,3
77,2
78,3
79,1
80,1
81,1
82,3
83,1
84,1
85,1
86,3
87,3
88,3
89,1
90,3
91,2
92,1
93,3
94,1
95,3
96,3
97,1
98,3
99,1
100,3
