R,mq
1,1
2,1
3,1
4,2
5,2
6,1
7,2
8,2
9,2
10,1
11,2
12,2
13,1
14,2
15,1
16,2
17,1
18,2
19,2
20,2
21,1
22,2
23,2
24,2
25,1
26,2
27,2
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,3
39,1
40,2
41,3
42,2
43,1
44,2
45,2
46,2
47,2
48,2
49,2
50,1
51,2
52,1
53,1
54,1
55,2
56,1
57,1
58,2
59,2
60,2
61,2
62,3
63,2
64,2
65,1
66,2
67,1
68,2
69,2
70,3
71,1
72,1
73,2
74,2
75,1
76,2
77,3
78,2
79,1
80,2
81,2
82,1
83,1
84,1
85,1
86,2
87,2
88,2
89,2
90,2
91,2
92,1
93,2
94,2
95,1
96,2
97,2
98,2
99,1
100,2
