R,aa
1,1
2,2
3,2
4,2
5,2
6,1
7,1
8,1
9,2
10,3
11,1
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,3
22,2
23,2
24,1
25,2
26,2
27,2
28,2
29,1
30,2
31,2
32,2
33,2
34,2
35,1
36,1
37,1
38,1
39,2
40,3
41,1
42,1
43,2
44,2
45,1
46,2
47,2
48,2
49,2
50,2
51,2
52,3
53,2
54,2
55,2
56,2
57,1
58,1
59,2
60,2
61,2
62,1
63,1
64,2
65,2
66,2
67,1
68,2
69,1
70,1
71,2
72,2
73,1
74,2
75,2
76,1
77,3
78,2
79,2
80,1
81,2
82,2
83,1
84,2
85,2
86,2
87,2
88,1
89,1
90,2
91,3
92,1
93,2
94,2
95,2
96,2
97,1
98,1
99,2
100,2
