R,L
1,1
1,83
1,6
1,7
1,88
1,89
1,92
1,67
1,130
1,101
1,29
1,69
1,35
1,111
1,42
1,44
1,45
1,134
1,124
1,57
1,131
1,24
1,135
1,136
1,36
1,145
1,98
1,52
1,70
1,38
1,76
2,2
2,41
2,35
2,128
2,92
3,3
3,92
4,4
5,5
5,143
5,61
6,6
6,1
6,140
6,83
6,7
6,89
6,92
6,24
6,29
6,21
6,120
6,35
6,38
6,41
6,42
6,45
6,134
6,52
6,54
6,128
6,62
6,98
6,69
6,70
6,124
6,76
7,7
7,1
7,83
7,6
7,42
7,68
7,88
7,89
7,92
7,24
7,27
7,29
7,52
7,35
7,111
7,37
7,41
7,45
7,134
7,128
7,57
7,131
7,62
7,36
7,98
7,69
7,70
7,76
8,8
8,98
8,69
8,70
8,24
9,9
10,10
10,41
10,69
10,89
10,35
10,92
10,76
11,11
11,41
11,24
11,98
11,69
11,70
11,89
11,105
11,76
12,12
12,92
13,13
13,42
13,35
13,76
14,14
14,69
15,15
15,69
15,89
16,16
17,17
18,18
18,89
19,19
20,20
21,21
21,6
21,89
21,128
21,92
22,22
23,23
24,24
24,1
24,6
24,7
24,8
24,11
24,89
24,128
24,92
24,35
24,38
24,41
24,45
24,57
24,136
24,62
24,80
24,98
24,69
24,70
24,76
25,25
25,41
25,92
26,26
27,27
27,46
27,7
27,62
27,88
27,35
27,92
28,28
28,70
28,89
29,29
29,1
29,83
29,6
29,7
29,68
29,88
29,89
29,92
29,41
29,42
29,120
29,52
29,128
29,57
29,131
29,62
29,98
29,69
29,70
29,76
30,30
31,31
32,32
32,41
32,89
33,33
34,34
34,89
35,35
35,1
35,2
35,13
35,83
35,6
35,7
35,10
35,88
35,89
35,92
35,57
35,101
35,148
35,36
35,38
35,27
35,117
35,41
35,42
35,120
35,52
35,128
35,129
35,131
35,111
35,73
35,24
35,98
35,69
35,70
35,124
35,76
36,36
36,1
36,7
36,88
36,89
36,92
36,35
36,41
36,42
36,45
36,128
36,57
36,62
36,98
36,69
36,70
36,76
37,37
37,41
37,7
37,88
37,128
37,92
38,38
38,1
38,6
38,89
38,92
38,57
38,24
38,35
38,41
38,42
38,128
38,62
38,98
38,69
38,70
38,76
39,39
39,92
40,40
41,41
41,2
