R,dl
1,2
2,2
3,4
4,4
5,4
6,7
7,7
8,3
9,4
10,2
11,7
12,1
13,2
14,4
15,4
16,4
17,4
18,4
19,2
20,4
21,2
22,4
23,4
24,7
25,4
26,4
27,2
28,4
29,7
30,4
31,4
32,2
33,4
34,7
35,3
36,7
37,2
38,7
39,2
40,2
41,3
42,7
43,4
44,4
45,7
46,4
47,4
48,4
49,4
50,2
51,4
52,2
53,4
54,2
55,4
56,2
57,7
58,2
59,3
60,4
61,3
62,7
63,3
64,7
65,7
66,4
67,2
68,2
69,3
70,7
71,4
72,4
73,2
74,4
75,4
76,7
77,4
78,4
79,4
80,3
81,2
82,4
83,7
84,4
85,4
86,4
87,4
88,7
89,3
90,4
91,2
92,2
93,4
94,4
95,4
96,4
97,4
98,3
99,4
100,4
101,2
102,4
103,4
104,4
105,7
106,4
107,4
108,4
109,4
110,4
111,7
112,4
113,4
114,2
115,4
116,4
117,2
118,4
119,3
120,2
121,4
122,7
123,4
124,2
125,4
126,7
127,7
128,3
129,7
130,4
131,2
132,4
133,4
134,2
135,3
136,7
137,4
138,7
139,7
140,7
141,4
142,7
143,4
144,4
145,4
146,4
147,4
148,7
149,4
150,4
