R,as
1,2
2,3
3,3
4,2
5,1
6,3
7,1
8,1
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,1
25,3
26,3
27,3
28,3
29,1
30,3
31,3
32,3
33,3
34,3
35,1
36,3
37,3
38,1
39,3
40,3
41,1
42,1
43,3
44,3
45,1
46,3
47,3
48,3
49,3
50,3
51,3
52,5
53,3
54,3
55,3
56,3
57,2
58,3
59,3
60,3
61,1
62,1
63,1
64,3
65,3
66,3
67,3
68,3
69,1
70,1
71,3
72,3
73,3
74,3
75,3
76,1
77,3
78,3
79,3
80,1
81,3
82,3
83,3
84,3
85,3
86,3
87,1
88,1
89,1
90,3
91,3
92,1
93,3
94,3
95,3
96,3
97,3
98,1
99,3
100,3
101,3
102,3
103,1
104,3
105,1
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,2
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,1
129,3
130,1
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,1
139,3
140,3
141,3
142,3
143,1
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,1
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,1
166,3
167,1
168,3
169,3
170,2
171,3
172,3
173,1
174,3
175,1
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,1
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,1
199,3
200,3
