R,spanish
1,7
2,7
3,7
4,2
5,2
6,2
7,7
8,2
9,7
10,3
11,2
12,1
13,2
14,2
15,2
16,2
17,3
18,3
19,2
20,2
21,2
22,3
23,3
24,7
25,2
26,7
27,2
28,4
29,2
30,4
31,2
32,2
33,7
34,2
35,2
36,4
37,2
38,2
39,4
40,2
41,2
42,7
43,4
44,4
45,4
46,2
47,2
48,4
49,2
50,2
51,7
52,7
53,7
54,2
55,2
56,2
57,2
58,2
59,7
60,7
61,2
62,2
63,7
64,2
65,7
66,7
67,7
68,7
69,4
70,7
71,7
72,3
73,2
74,2
75,7
76,2
77,2
78,2
79,2
80,2
81,2
82,3
83,7
84,4
85,7
86,2
87,2
88,4
89,3
90,7
91,2
92,7
93,4
94,2
95,4
96,7
97,7
98,2
99,7
100,3
101,2
102,2
103,4
104,2
105,7
106,7
107,7
108,7
109,2
110,2
111,7
112,3
113,3
114,2
115,2
116,2
117,4
118,7
119,4
120,7
121,2
122,7
123,7
124,4
125,3
126,7
127,7
128,7
129,4
130,7
131,7
132,3
133,4
134,4
135,4
136,2
137,2
138,7
139,4
140,7
141,4
142,2
143,7
144,7
145,7
146,4
147,4
148,4
149,2
150,4
151,2
152,4
153,4
154,7
155,4
156,2
157,4
158,3
159,2
160,2
161,4
162,4
163,2
164,4
165,4
166,3
167,7
168,2
169,2
170,2
171,4
172,4
173,7
174,4
175,4
176,4
177,7
178,7
179,7
180,2
181,7
182,2
183,7
184,7
185,3
186,7
187,2
188,7
189,7
190,2
191,4
192,4
193,3
194,4
195,7
196,2
197,7
198,7
199,4
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,4
208,4
209,7
210,2
211,2
212,3
213,4
214,2
215,4
216,4
217,7
218,2
219,3
220,7
221,4
222,7
223,2
224,2
225,7
226,2
227,2
228,2
229,2
230,4
231,7
232,2
233,3
234,4
235,2
236,4
237,7
238,3
239,4
240,3
241,7
242,7
243,2
244,4
245,2
246,2
247,7
248,3
249,2
250,4
251,4
252,4
253,4
254,7
255,2
256,2
257,4
258,4
259,4
260,4
261,2
262,4
263,4
264,7
265,7
266,7
267,7
268,7
269,7
270,7
271,7
272,2
273,4
274,7
275,4
276,4
277,2
278,4
279,3
280,7
281,3
282,4
283,4
284,7
285,4
286,4
287,3
288,4
289,4
290,3
291,4
292,2
293,4
294,4
295,3
296,2
297,2
298,2
299,2
300,2
301,7
302,2
303,2
304,2
305,4
306,2
307,2
308,4
309,4
310,7
311,3
312,2
313,2
314,7
315,4
316,4
317,2
318,4
319,4
320,2
321,4
322,7
323,2
324,7
325,2
326,2
327,7
328,4
329,4
330,4
331,4
332,4
333,2
334,2
