R,mexican
1,2
2,2
3,3
4,9
5,9
6,3
7,2
8,3
9,4
10,4
11,3
12,9
13,3
14,9
15,4
16,9
17,9
18,9
19,9
20,9
21,3
22,9
23,3
24,3
25,3
26,4
27,9
28,5
29,9
30,3
31,9
32,4
33,4
34,3
35,9
36,4
37,9
38,2
39,3
40,9
41,2
42,3
43,5
44,5
45,9
46,9
47,4
48,4
49,3
50,9
51,4
52,9
53,9
54,9
55,3
56,2
57,2
58,4
59,2
60,3
61,3
62,2
63,5
64,9
65,9
66,9
67,2
68,3
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,4
77,4
78,3
79,9
80,2
81,3
82,2
83,3
84,4
85,3
86,9
87,4
88,4
89,4
90,9
91,4
92,4
93,4
94,9
95,5
96,2
97,9
98,4
99,9
100,9
101,4
102,4
103,5
104,9
105,2
106,3
107,2
108,3
109,3
110,2
111,2
112,2
113,5
114,4
115,3
116,9
117,5
118,9
119,5
120,3
121,3
122,4
123,3
124,5
125,4
126,9
127,9
128,9
129,9
130,9
131,4
132,4
133,3
134,9
135,9
136,3
137,3
138,3
139,5
140,2
141,9
142,2
143,3
144,3
145,2
146,4
147,4
148,9
149,9
150,5
151,3
152,5
153,5
154,2
155,3
156,9
157,9
158,3
159,3
160,2
161,9
162,9
163,2
164,9
165,5
166,4
167,4
168,9
169,2
170,4
171,5
172,4
173,9
174,5
175,5
176,9
177,3
178,3
179,2
180,3
181,2
182,3
183,2
184,9
185,4
186,4
187,4
188,4
189,2
190,3
191,9
192,5
193,9
194,2
195,9
196,9
197,2
198,2
199,3
200,4
201,9
202,2
203,9
204,9
205,4
206,4
207,9
208,4
209,9
210,3
211,9
212,2
213,4
214,4
215,5
216,4
217,2
218,5
219,2
220,9
221,5
222,3
223,3
224,9
225,4
226,3
227,9
228,9
229,3
230,3
231,5
232,3
233,4
234,5
235,3
236,4
237,3
238,2
239,4
240,2
241,5
242,9
243,3
244,9
245,9
246,9
247,4
248,9
249,9
250,5
251,4
252,5
253,9
254,4
255,2
256,3
257,3
258,4
259,2
260,2
261,2
262,2
263,2
264,2
265,9
266,9
267,4
268,2
