R,thai
1,2
2,4
3,7
4,2
5,7
6,7
7,7
8,3
9,4
10,3
11,7
12,3
13,7
14,3
15,4
16,7
17,3
18,4
19,3
20,2
21,7
22,2
23,7
24,7
25,7
26,2
27,3
28,7
29,7
30,7
31,7
32,2
33,7
34,7
35,7
36,7
37,7
38,7
39,4
40,2
41,7
42,2
43,3
44,4
45,4
46,3
47,2
48,2
49,3
50,3
51,2
52,4
53,3
54,7
55,2
56,2
57,7
58,3
59,2
60,7
61,7
62,4
63,4
64,3
65,4
66,4
67,2
68,2
69,4
70,3
71,4
72,2
73,2
74,2
75,3
76,2
77,3
78,7
79,4
80,2
81,3
82,4
83,4
84,4
85,2
86,2
87,4
88,2
89,2
90,4
91,2
92,2
93,2
94,2
95,3
96,7
97,2
98,7
99,4
100,4
101,7
102,7
103,2
104,7
105,4
106,3
107,2
108,2
109,3
110,3
111,2
112,2
113,4
114,3
115,7
116,3
117,4
118,4
119,4
120,3
121,7
122,2
123,2
124,7
125,7
126,2
127,7
128,2
129,4
130,4
131,4
132,4
133,4
134,2
135,2
136,2
137,7
138,7
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,7
148,2
149,2
150,2
151,7
152,2
153,2
154,3
155,4
156,4
157,4
158,2
159,2
160,7
161,2
162,2
163,2
164,2
165,2
166,3
167,2
168,4
169,4
170,7
171,2
172,2
173,7
174,2
175,2
176,2
177,2
178,7
179,7
180,7
181,2
182,2
183,7
184,2
185,7
186,3
187,3
188,7
189,7
190,7
191,7
192,4
193,2
194,2
195,7
196,2
197,3
198,3
199,4
200,7
201,7
202,7
203,3
204,3
205,3
206,4
207,4
208,2
209,7
210,7
211,2
212,3
213,2
214,2
215,2
216,2
217,2
218,2
219,7
220,2
221,2
222,2
223,2
224,7
225,4
226,3
227,3
228,3
229,7
230,4
231,4
232,4
233,4
234,7
235,2
236,2
237,3
238,4
239,4
240,3
241,4
242,4
243,2
244,4
245,7
246,3
247,7
248,2
249,7
250,4
251,4
252,4
253,3
254,4
255,7
256,4
257,7
258,7
259,4
260,4
261,3
262,4
263,3
264,4
265,2
266,7
267,2
268,2
269,2
270,7
271,2
272,7
273,7
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,3
282,4
283,4
284,4
285,2
286,2
287,7
288,2
289,2
290,2
291,2
292,3
293,4
294,4
295,3
296,2
297,2
298,2
299,3
300,3
301,3
302,2
303,3
304,7
305,4
306,7
307,7
308,2
309,4
310,7
311,4
312,3
313,3
314,4
315,4
316,4
317,7
318,4
319,4
320,2
321,7
322,3
323,7
324,4
325,7
326,4
327,2
328,2
329,2
330,7
331,2
332,2
333,7
334,2
335,3
336,7
337,7
338,7
339,4
340,3
341,2
342,2
343,4
344,4
345,4
346,4
347,2
348,7
349,2
350,7
351,7
352,2
353,3
354,3
355,4
356,2
357,4
358,4
359,2
360,7
361,2
362,4
363,4
364,3
365,4
366,7
367,4
368,2
369,7
370,7
371,2
372,7
373,4
374,3
375,4
376,3
377,4
378,4
379,7
380,3
381,7
382,7
383,4
384,4
385,7
386,7
387,7
388,4
389,7
390,7
391,7
392,7
393,2
394,4
395,4
396,7
397,2
398,4
399,2
400,4
401,4
402,4
403,4
404,4
405,4
406,7
407,4
408,4
409,4
410,2
411,4
412,4
413,7
414,7
415,2
416,2
417,4
418,4
419,7
420,4
421,7
422,4
423,4
424,4
425,4
426,2
427,2
428,2
429,4
430,3
431,7
432,4
433,4
434,7
435,3
436,4
437,4
438,4
439,4
440,2
441,4
442,7
443,4
444,4
445,4
446,7
447,2
448,7
449,7
450,4
451,7
452,7
453,3
454,2
455,3
456,3
457,2
458,2
459,4
460,4
461,4
462,7
463,2
464,3
465,2
466,2
467,2
468,2
469,3
470,4
471,3
472,3
473,7
474,4
475,3
476,3
477,7
478,4
479,7
480,4
481,7
482,4
483,2
484,2
485,2
486,7
487,4
488,4
489,3
490,2
491,3
492,2
493,7
494,7
495,7
496,4
497,4
498,3
499,4
500,7
501,3
502,4
503,4
504,7
505,2
506,7
507,7
508,4
509,4
510,3
511,3
512,4
513,4
514,4
515,4
516,4
517,2
518,7
519,2
520,7
521,7
522,4
523,4
524,4
525,2
526,4
527,2
528,4
529,4
530,7
531,4
532,4
533,4
534,7
535,4
536,7
537,4
538,4
539,3
540,4
541,7
542,7
543,4
544,4
545,7
546,2
547,4
548,2
549,2
550,2
551,2
552,2
553,7
554,4
555,4
556,4
557,2
558,7
559,4
560,2
561,4
562,7
563,2
564,3
565,4
566,4
567,4
568,2
569,2
570,2
571,4
572,4
573,4
574,4
575,4
576,7
577,4
578,4
579,3
580,4
581,4
582,7
583,2
584,2
585,2
586,2
587,7
588,2
589,4
590,2
591,4
592,4
593,4
594,4
595,3
596,3
597,4
598,4
599,4
600,4
601,4
602,7
603,4
604,2
605,3
606,7
607,2
608,3
609,2
610,2
611,4
612,7
613,4
614,4
615,4
616,4
617,4
618,4
619,7
620,7
621,2
622,7
623,4
624,4
625,7
626,4
627,2
628,7
629,2
630,7
631,7
632,2
633,2
634,2
635,4
636,4
637,4
638,3
639,4
640,4
641,4
642,2
643,4
644,2
645,2
646,4
647,4
648,4
649,4
650,4
651,4
652,2
653,2
654,4
655,4
656,4
657,2
658,4
659,7
660,4
661,4
662,4
663,7
664,3
665,3
666,4
667,4
668,4
669,4
670,7
671,7
672,7
673,4
674,4
675,2
676,7
677,4
678,2
679,2
680,4
681,3
682,4
683,4
684,2
685,7
686,2
687,4
688,4
689,4
690,3
691,4
692,4
693,4
694,4
695,7
696,7
697,2
698,4
699,4
700,4
701,4
702,4
703,7
704,4
705,4
706,7
707,4
708,4
709,2
710,7
711,4
712,4
713,2
714,4
715,7
716,4
717,4
718,4
719,4
720,2
721,4
722,4
723,2
724,4
725,4
726,3
727,2
728,4
729,2
730,7
731,4
732,2
733,4
734,2
735,2
736,4
737,2
738,7
739,7
740,4
741,4
742,4
743,4
744,4
745,2
746,2
747,7
748,4
749,4
750,4
751,4
752,4
753,4
754,4
755,3
756,7
757,4
758,4
759,4
760,7
761,4
762,4
763,4
764,2
765,4
766,7
767,4
768,4
769,2
770,2
771,4
772,7
773,4
774,3
775,4
776,4
777,4
778,2
779,2
780,2
781,4
782,7
783,3
784,4
785,4
786,4
787,7
788,7
789,4
790,4
791,3
792,2
793,4
794,7
795,7
796,4
797,2
798,2
799,4
800,4
801,3
802,3
803,2
804,7
805,7
806,2
807,4
808,2
809,4
810,2
811,2
812,2
813,2
814,4
815,2
816,2
817,2
818,4
819,4
820,7
821,7
822,2
823,4
824,4
825,3
826,4
827,4
828,2
829,7
830,2
831,2
832,2
833,2
834,7
835,4
836,2
837,4
838,2
839,7
840,7
841,7
842,7
843,4
844,4
845,4
846,2
847,7
848,7
849,2
850,4
851,4
852,4
853,3
854,7
855,7
856,7
857,3
858,4
859,3
860,4
861,4
862,7
863,4
864,7
865,2
866,2
867,4
868,3
869,7
870,4
871,7
872,4
873,4
874,2
875,4
876,2
877,2
878,4
879,4
880,2
881,7
882,3
883,4
884,7
885,4
886,7
887,4
888,4
889,4
890,4
891,4
892,4
893,3
894,4
895,4
896,7
897,4
898,2
899,7
900,2
901,4
902,2
903,2
904,2
905,2
906,2
907,7
908,2
909,4
910,2
911,2
912,4
913,2
914,4
915,7
916,7
917,7
918,2
919,4
920,4
921,2
922,4
923,4
924,2
925,4
926,2
927,4
928,4
929,7
930,2
931,4
932,7
933,4
934,2
935,2
936,4
937,4
938,4
939,2
940,2
941,7
942,2
943,2
944,4
945,4
