R,french
1,3
2,2
3,3
4,7
5,3
6,3
7,7
8,7
9,7
10,3
11,3
12,7
13,3
14,3
15,2
16,3
17,4
18,7
19,2
20,7
21,3
22,3
23,4
24,7
25,3
26,7
27,2
28,2
29,3
30,7
31,3
32,2
33,7
34,7
35,3
36,4
37,3
38,7
39,4
40,7
41,7
42,7
43,4
44,3
45,4
46,2
47,2
48,7
49,3
50,2
51,3
52,2
53,3
54,3
55,7
56,7
57,7
58,2
59,4
60,3
61,2
62,4
63,3
64,3
65,2
66,3
67,7
68,7
69,4
70,4
71,7
72,4
73,7
74,7
75,7
76,3
77,2
78,3
79,7
80,4
81,7
82,7
83,2
84,7
85,7
86,2
87,3
88,7
89,7
90,2
91,2
92,3
93,7
94,7
95,4
96,7
97,4
98,3
99,2
100,2
101,7
102,2
103,3
104,3
105,7
106,2
107,7
108,7
109,3
110,7
111,7
112,7
113,3
114,2
115,2
116,2
117,1
118,2
119,4
120,2
121,2
122,7
123,7
124,4
125,4
126,4
127,7
128,7
129,7
130,2
131,2
132,7
133,4
134,4
135,4
136,3
137,3
138,2
139,4
140,7
141,7
142,7
143,7
144,7
145,3
146,4
147,7
148,4
149,7
150,4
151,7
152,4
153,4
154,7
155,2
156,2
157,4
158,7
159,7
160,7
161,7
162,3
163,7
164,4
165,4
166,7
167,7
168,2
169,2
170,2
171,4
172,4
173,2
174,4
175,4
176,4
177,7
178,3
179,7
180,7
181,7
182,2
183,7
184,3
185,3
186,3
187,2
188,7
189,7
190,7
191,4
192,4
193,7
194,7
195,7
196,2
197,7
198,3
199,7
200,2
201,2
202,7
203,3
204,2
205,2
206,4
207,7
208,7
209,3
210,3
211,7
212,7
213,4
214,2
215,4
216,4
217,4
218,4
219,7
220,4
221,4
222,7
223,7
224,3
225,3
226,7
227,2
228,3
229,3
230,4
231,2
232,2
233,3
234,7
235,2
236,7
237,3
238,7
239,7
240,4
241,4
242,3
243,3
244,2
245,2
246,2
247,3
248,3
249,2
250,4
251,4
252,4
253,7
254,7
255,3
256,7
257,4
258,2
259,4
260,4
261,7
262,4
263,4
264,7
265,2
266,7
267,7
268,4
269,3
270,2
271,2
272,3
273,4
274,2
275,4
276,4
277,2
278,2
279,4
280,7
281,7
282,4
283,7
284,4
285,3
286,7
287,7
288,4
289,3
290,3
291,4
292,2
293,3
294,7
295,7
296,7
297,2
298,3
299,2
300,3
301,7
302,3
303,2
304,3
305,7
306,2
307,3
308,4
309,3
310,2
311,3
312,2
313,7
314,2
315,3
316,2
317,3
318,4
319,4
320,7
321,4
322,7
323,2
324,3
325,2
326,2
327,4
328,7
329,4
330,7
331,4
332,2
333,2
334,2
335,4
336,3
337,7
338,3
339,4
340,2
341,7
342,4
343,7
344,2
345,7
346,4
347,7
348,2
349,4
350,4
351,4
352,7
353,2
354,2
355,3
356,3
357,3
358,2
359,2
360,2
361,3
362,3
363,7
364,2
365,3
366,7
367,3
368,7
369,3
370,3
371,7
372,3
373,2
374,7
375,3
376,3
377,4
378,7
379,3
380,7
381,2
382,2
383,3
384,4
385,3
386,3
387,2
388,2
389,2
390,7
391,7
392,4
393,2
394,3
395,2
396,3
397,4
398,4
399,2
400,7
401,3
402,3
403,2
404,2
405,2
406,2
407,4
408,4
409,4
410,4
411,2
412,4
413,2
414,3
