R,indian
1,7
2,4
3,3
4,2
5,3
6,2
7,3
8,2
9,7
10,2
11,3
12,7
13,2
14,3
15,3
16,3
17,7
18,7
19,2
20,2
21,3
22,2
23,2
24,3
25,2
26,7
27,2
28,4
29,2
30,3
31,2
32,3
33,3
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,3
48,2
49,2
50,7
51,2
52,3
53,3
54,3
55,3
56,2
57,2
58,7
59,4
60,2
61,2
62,4
63,2
64,3
65,7
66,3
67,3
68,7
69,4
70,7
71,7
72,7
73,2
74,2
75,2
76,7
77,3
78,2
79,4
80,7
81,7
82,4
83,4
84,4
85,2
86,3
87,4
88,7
89,2
90,2
91,2
92,3
93,7
94,3
95,4
96,7
97,2
98,3
99,7
100,7
101,2
102,2
103,3
104,2
105,7
106,2
107,2
108,2
109,2
110,7
111,2
112,7
113,7
114,3
115,2
116,7
117,4
118,4
119,4
120,3
121,3
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,7
131,4
132,4
133,4
134,3
135,4
136,3
137,3
138,3
139,3
140,3
141,3
142,2
143,2
144,2
145,7
146,2
147,4
148,3
149,2
150,4
151,2
152,7
153,7
154,2
155,4
156,2
157,3
158,3
159,2
160,3
161,2
162,3
163,4
164,3
165,2
166,4
167,4
168,4
169,3
170,3
171,4
172,7
173,3
174,7
175,4
176,2
177,3
178,2
179,2
180,2
181,2
182,7
183,2
184,7
185,4
186,7
187,2
188,4
189,7
190,3
191,7
192,4
193,3
194,2
195,7
196,2
197,7
198,7
199,4
200,7
201,3
202,7
203,2
204,4
205,7
206,4
207,4
208,2
209,7
210,2
211,7
212,3
213,2
214,3
215,7
216,7
217,2
218,4
219,2
220,2
221,4
222,2
223,7
224,3
225,7
226,2
227,3
228,7
229,7
230,4
231,3
232,4
233,4
234,7
235,2
236,2
237,7
238,4
239,3
240,4
241,4
242,4
243,3
244,4
245,3
246,2
247,4
248,3
249,2
250,4
251,7
252,4
253,4
254,4
255,2
256,7
257,4
258,4
259,4
260,4
261,3
262,4
263,4
264,7
265,2
266,2
267,2
268,2
269,3
270,3
271,3
272,2
273,4
274,4
275,4
276,4
277,3
278,4
279,4
280,4
281,3
282,4
283,4
284,4
285,3
286,4
287,3
288,4
289,4
290,4
291,4
292,3
293,4
294,4
295,7
296,3
297,7
298,7
299,7
300,2
301,3
302,3
303,3
304,2
305,4
306,7
307,2
308,2
309,4
310,3
311,2
312,7
313,3
314,2
315,4
316,7
317,2
318,2
319,2
320,3
321,7
322,4
323,2
324,7
325,7
326,3
327,3
328,2
329,4
330,4
331,7
332,2
333,7
334,2
335,2
336,2
337,2
338,2
339,3
340,7
341,2
342,2
343,2
344,7
345,3
346,4
347,2
348,2
349,2
350,4
351,4
352,7
353,7
354,7
355,4
356,3
357,4
358,4
359,3
360,3
361,3
362,4
363,4
364,7
365,4
366,3
367,2
368,7
369,2
370,2
371,3
372,2
373,3
374,2
375,4
376,7
377,4
378,7
379,4
380,4
381,2
382,2
383,4
384,7
385,2
386,2
387,3
388,4
389,2
390,3
391,2
392,4
393,4
394,4
395,4
396,3
397,3
398,3
399,3
400,7
401,7
402,2
403,4
404,4
405,7
406,3
407,2
408,2
409,2
410,2
411,3
412,3
413,2
414,2
415,2
416,2
417,4
418,4
419,3
420,4
421,3
422,3
423,7
424,4
425,4
426,2
427,2
428,2
429,4
430,2
431,4
432,3
433,7
434,2
435,2
436,7
437,4
438,4
439,4
440,3
441,7
442,2
443,4
444,4
445,3
446,3
447,2
448,2
449,2
450,4
451,3
452,3
453,2
454,3
455,3
456,3
457,2
458,2
459,7
460,4
461,4
462,3
463,2
464,3
465,4
466,3
467,7
468,3
469,2
470,7
471,2
472,3
473,2
474,7
475,3
476,3
477,2
478,3
479,2
480,4
481,3
482,2
483,3
484,7
485,7
486,4
487,2
488,4
489,7
490,2
491,7
492,2
493,3
494,3
495,7
496,2
497,4
498,7
499,4
500,2
501,7
502,7
503,4
504,3
505,2
506,2
507,7
508,2
509,4
510,3
511,4
512,4
513,7
514,4
515,4
516,7
517,3
518,3
519,7
520,4
521,2
522,4
523,7
524,4
525,2
526,4
527,3
528,7
529,4
530,4
531,4
532,4
533,4
534,4
535,4
536,3
537,4
538,4
539,7
540,3
541,7
542,3
543,3
544,2
545,3
546,3
547,2
548,2
549,4
550,4
551,7
552,2
553,3
554,4
555,4
556,4
557,3
558,2
559,4
560,3
561,4
562,2
563,2
564,4
565,4
566,4
567,4
568,2
569,3
570,2
571,4
572,4
573,4
574,4
575,4
576,2
577,4
578,4
579,7
580,4
581,2
582,2
583,3
584,7
585,3
586,7
587,4
588,4
589,3
590,2
591,2
592,4
593,4
594,2
595,3
596,7
597,3
598,7
599,4
600,4
601,4
602,2
603,2
604,4
605,3
606,4
607,4
608,7
609,2
610,3
611,7
612,4
613,4
614,3
615,4
616,4
617,4
618,4
619,7
620,7
621,2
622,3
623,7
624,3
625,7
626,4
627,2
628,3
629,4
630,2
631,4
632,2
633,7
634,4
635,3
636,4
637,4
638,2
639,2
640,3
641,4
642,4
643,4
644,4
645,2
646,2
647,4
648,4
649,4
650,4
651,4
652,2
653,2
654,7
655,4
656,3
657,3
658,4
659,4
660,2
661,7
662,4
663,4
664,7
665,3
666,4
667,4
668,4
669,4
670,4
671,4
672,7
673,2
674,2
675,3
