R,greek
1,2
2,2
3,2
4,2
5,2
6,2
7,7
8,2
9,2
10,2
11,7
12,1
13,2
14,2
15,7
16,2
17,4
18,4
19,7
20,7
21,7
22,7
23,4
24,7
25,7
26,7
27,2
28,4
29,2
30,2
31,2
32,2
33,4
34,7
35,2
36,4
37,2
38,7
39,2
40,7
41,2
42,7
43,4
44,4
45,4
46,7
47,2
48,4
49,2
50,7
51,7
52,7
53,7
54,2
55,7
56,7
57,7
58,2
59,4
60,7
61,2
62,4
63,4
64,7
65,7
66,4
67,4
68,7
69,4
70,4
71,7
72,2
73,7
74,7
75,2
76,2
77,2
78,2
79,7
80,2
81,2
82,4
83,4
84,4
85,7
86,7
87,7
88,7
89,4
90,4
91,7
92,7
93,4
94,7
95,4
96,2
97,7
98,7
99,7
100,2
101,7
102,2
103,4
104,2
105,4
106,7
107,7
108,2
109,2
110,7
111,7
112,2
113,2
114,2
115,2
116,7
117,4
118,4
119,4
120,7
121,2
122,4
123,7
124,2
125,4
126,7
127,2
128,3
129,2
130,7
131,4
132,7
133,2
134,4
135,4
136,2
137,7
138,7
139,4
140,7
141,4
142,7
143,7
144,7
145,7
146,4
147,4
148,7
149,2
150,4
151,7
152,4
153,4
154,2
155,4
156,2
157,4
158,2
159,7
160,2
161,4
162,7
163,2
164,4
165,4
166,2
167,2
168,2
169,2
170,2
171,4
172,4
173,7
174,4
175,4
176,4
177,4
178,7
179,2
180,7
181,7
182,4
183,7
184,7
185,4
186,2
187,7
188,2
189,7
190,2
191,4
192,4
193,4
194,4
195,7
196,7
197,7
198,2
199,7
200,2
201,7
202,7
203,2
204,3
205,2
206,4
207,4
208,4
209,7
210,7
211,7
212,7
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,7
223,2
224,7
225,2
226,2
227,2
228,7
229,7
230,7
231,7
232,2
233,7
234,4
235,7
236,7
237,7
238,7
239,7
240,4
241,4
242,4
243,7
244,4
245,7
246,7
247,7
248,3
249,2
250,4
251,4
252,4
253,2
254,4
255,4
256,4
257,4
258,4
259,4
260,4
261,7
262,4
263,7
264,7
265,7
266,7
267,7
268,4
