R,british
1,5
2,5
3,5
4,9
5,2
6,3
7,3
8,5
9,5
10,2
11,3
12,1
13,3
14,2
15,3
16,2
17,9
18,3
19,2
20,9
21,3
22,3
23,5
24,3
25,9
26,4
27,2
28,5
29,2
30,5
31,9
32,3
33,9
34,9
35,2
36,5
37,9
38,4
39,9
40,3
41,4
42,5
43,4
44,2
45,5
46,9
47,2
48,4
49,9
50,2
51,9
52,2
53,2
54,9
55,5
56,5
57,4
58,3
59,3
60,3
61,3
62,5
63,9
64,2
65,2
66,2
67,5
68,9
69,5
70,5
71,2
72,5
73,4
74,5
75,3
76,5
77,3
78,9
79,5
80,5
81,4
82,9
83,5
84,5
85,3
86,9
87,2
88,4
89,4
90,2
91,4
92,3
93,4
94,4
95,5
96,4
97,4
98,9
99,3
100,9
