R,cajun_creole
1,11
2,4
3,3
4,2
5,11
6,3
7,2
8,4
9,5
10,3
11,11
12,2
13,11
14,11
15,2
16,3
17,4
18,11
19,3
20,11
21,2
22,3
23,5
24,2
25,11
26,4
27,2
28,2
29,11
30,6
31,11
32,4
33,6
34,2
35,2
36,6
37,11
38,3
39,6
40,3
41,4
42,2
43,6
44,3
45,6
46,2
47,3
48,6
49,4
50,3
51,5
52,2
53,4
54,2
55,1
56,4
57,3
58,11
59,6
60,4
61,3
62,3
63,6
64,11
65,4
66,4
67,4
68,4
69,3
70,5
71,4
72,11
73,5
74,5
75,11
76,4
77,4
78,3
79,2
80,2
81,2
82,4
83,3
84,2
85,11
86,3
87,2
88,6
89,5
90,11
91,4
92,11
93,5
94,11
95,6
96,3
97,11
98,4
99,3
100,6
