R,russian
1,5
2,3
3,5
4,9
5,2
6,3
7,3
8,5
9,5
10,9
11,3
12,1
13,9
14,2
15,9
16,2
17,5
18,5
19,2
20,2
21,2
22,3
23,5
24,3
25,9
26,3
27,2
28,5
29,2
30,5
31,2
32,9
33,5
34,3
35,2
36,5
37,2
38,3
39,9
40,9
41,3
42,5
43,5
44,5
45,5
46,9
47,2
48,5
49,9
50,2
51,3
52,2
53,2
54,2
55,4
56,3
57,4
58,9
59,5
60,9
61,9
62,5
63,5
64,2
65,9
66,9
67,5
68,9
69,5
70,5
71,4
72,5
73,5
74,5
75,3
76,3
77,3
78,9
79,5
80,5
81,5
82,5
83,5
84,5
85,9
86,2
87,9
88,5
89,4
90,3
91,3
92,3
93,5
94,3
95,5
96,9
97,4
98,3
99,5
100,2
