R,filipino
1,5
2,5
3,4
4,9
5,9
6,3
7,3
8,2
9,5
10,3
11,2
12,1
13,9
14,9
15,5
16,9
17,5
18,5
19,2
20,9
21,3
22,9
23,2
24,2
25,2
26,9
27,9
28,9
29,9
30,5
31,2
32,2
33,3
34,4
35,9
36,4
37,3
38,4
39,5
40,9
41,4
42,2
43,5
44,5
45,5
46,2
47,9
48,2
49,4
50,2
51,3
52,3
53,2
54,2
55,3
56,4
57,3
58,4
59,5
60,9
61,3
62,2
63,5
64,2
65,4
66,5
67,3
68,9
69,5
70,5
71,2
72,5
73,3
74,5
75,5
76,5
77,4
78,3
79,3
80,5
81,4
82,4
83,5
84,5
85,2
86,4
87,3
88,9
89,2
90,5
91,9
92,4
93,2
94,3
95,3
96,4
97,3
98,9
99,3
100,5
