R,mexican
1,2
2,2
3,2
4,11
5,4
6,3
7,2
8,3
9,4
10,11
11,3
12,11
13,3
14,11
15,11
16,11
17,4
18,4
19,4
20,4
21,3
22,4
23,3
24,3
25,3
26,5
27,11
28,6
29,11
30,3
31,4
32,5
33,5
34,3
35,4
36,5
37,11
38,2
39,3
40,4
41,3
42,3
43,6
44,6
45,11
46,4
47,5
48,5
49,3
50,11
51,5
52,11
53,4
54,11
55,4
56,2
57,2
58,5
59,2
60,3
61,3
62,2
63,6
64,4
65,11
66,11
67,2
68,3
69,1
70,2
71,2
72,2
73,2
74,2
75,2
76,5
77,11
78,4
79,3
80,2
81,3
82,2
83,4
84,5
85,3
86,11
87,11
88,5
89,5
90,4
91,11
92,5
93,5
94,4
95,6
96,2
97,4
98,5
99,4
100,11
