R,irish
1,3
2,4
3,4
4,7
5,2
6,3
7,7
8,4
9,4
10,2
11,2
12,2
13,3
14,2
15,2
16,2
17,4
18,7
19,2
20,7
21,7
22,3
23,4
24,7
25,7
26,3
27,2
28,4
29,2
30,4
31,2
32,7
33,4
34,7
35,2
36,4
37,7
38,4
39,4
40,3
41,3
42,4
43,4
44,7
45,4
46,2
47,2
48,3
49,2
50,2
51,2
52,2
53,2
54,7
55,4
56,4
57,3
58,7
59,4
60,7
61,7
62,4
63,4
64,2
65,2
66,2
67,4
68,4
69,4
70,4
71,2
72,4
73,3
74,3
75,3
76,3
77,7
78,7
79,4
80,4
81,4
82,7
83,7
84,7
85,3
86,7
87,2
88,4
89,3
90,2
91,7
92,7
93,3
94,7
95,4
96,2
97,4
98,7
99,7
100,7
101,4
102,7
103,2
104,7
105,7
106,7
107,4
108,4
109,3
110,3
111,4
112,4
113,7
114,2
115,7
116,2
117,4
118,7
119,4
120,2
121,2
122,3
123,2
124,4
125,4
126,3
127,4
128,7
129,7
130,2
131,2
132,7
133,4
134,4
135,4
136,3
137,7
138,7
139,4
140,3
141,4
142,3
143,3
144,4
145,4
146,4
147,4
148,7
149,3
150,4
151,4
152,4
153,4
154,4
155,4
156,2
157,2
158,3
159,4
160,7
161,4
162,4
163,4
164,2
165,4
166,4
167,4
168,7
169,7
170,7
171,4
172,4
173,2
174,4
175,4
176,3
177,1
178,2
179,7
180,7
181,4
182,2
183,4
184,7
185,4
186,3
187,2
188,4
189,3
190,3
191,7
192,4
193,2
194,2
195,3
196,2
197,3
198,7
199,7
200,2
201,2
202,3
203,2
204,2
205,2
206,4
207,4
208,3
209,2
210,7
211,4
212,7
213,4
214,2
215,4
216,4
217,3
218,4
219,4
220,4
221,4
222,4
223,7
224,2
225,4
226,3
227,2
228,2
229,7
230,4
231,4
232,4
233,7
234,4
235,4
236,3
237,2
238,7
239,4
240,4
241,4
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,7
250,4
251,4
252,4
253,3
254,4
255,7
256,7
257,4
258,2
259,4
260,4
261,4
262,4
263,4
264,7
265,7
266,4
267,4
268,4
269,7
270,4
271,7
272,2
273,4
274,7
275,4
276,4
277,7
278,4
279,4
280,7
281,2
282,4
283,4
284,4
285,4
286,4
287,7
288,4
289,4
290,4
291,2
292,2
293,4
294,4
295,4
296,7
297,7
298,7
299,7
300,7
301,2
