R,indian
1,9
2,5
3,9
4,3
5,3
6,2
7,3
8,2
9,9
10,2
11,3
12,4
13,2
14,3
15,9
16,9
17,9
18,4
19,3
20,2
21,9
22,2
23,2
24,9
25,2
26,4
27,3
28,5
29,2
30,3
31,3
32,3
33,3
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,1
44,2
45,2
46,2
47,3
48,2
49,2
50,9
51,2
52,9
53,9
54,3
55,3
56,2
57,3
58,4
59,5
60,3
61,2
62,5
63,2
64,3
65,4
66,9
67,3
68,4
69,5
70,4
71,9
72,4
73,3
74,2
75,2
76,4
77,9
78,3
79,5
80,9
81,4
82,5
83,5
84,5
85,2
86,3
87,5
88,4
89,2
90,3
91,3
92,9
93,9
94,9
95,5
96,4
97,3
98,9
99,9
100,9
101,3
102,3
103,9
104,3
105,4
106,3
107,2
108,2
109,3
110,4
111,3
112,9
113,4
114,3
115,3
116,9
117,5
118,5
119,5
120,3
121,3
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,9
131,5
132,5
133,5
134,3
135,5
136,3
137,9
138,9
139,9
140,3
141,3
142,3
143,2
144,2
145,9
146,3
147,5
148,9
149,2
150,5
151,2
152,9
153,4
154,3
155,5
156,2
157,9
158,3
159,3
160,3
161,2
162,3
163,5
164,3
165,3
166,5
167,5
168,5
169,9
170,9
171,5
172,4
173,9
174,4
175,5
176,3
177,3
178,3
179,2
180,2
181,2
182,9
183,2
184,9
185,5
186,4
187,2
188,5
189,9
190,3
191,9
192,5
193,9
194,3
195,4
196,3
197,4
198,9
199,5
200,9
201,3
202,9
203,2
204,5
205,9
206,5
207,5
208,3
209,4
210,2
211,9
212,9
213,3
214,3
215,9
216,4
217,3
218,5
219,2
220,2
221,5
222,2
223,9
224,3
225,4
226,3
227,9
228,4
229,9
230,5
231,9
232,5
233,5
234,4
235,2
236,2
237,4
238,5
239,3
240,5
241,5
242,5
243,3
244,5
245,3
246,2
247,5
248,3
249,3
250,5
251,9
252,5
253,5
254,5
255,2
256,9
257,5
258,5
259,5
260,5
261,3
262,5
263,5
264,9
265,2
266,2
267,2
268,2
269,9
270,3
271,9
272,3
273,5
274,5
275,5
276,5
277,9
278,5
279,5
280,5
281,9
282,5
283,5
284,5
285,9
286,5
287,3
288,5
289,5
290,5
291,5
292,9
293,5
294,5
295,4
296,3
297,9
298,4
299,4
300,2
301,3
302,3
303,9
304,2
305,5
306,4
307,3
308,2
309,5
310,3
311,3
312,9
313,9
314,2
315,5
316,9
317,3
318,2
319,2
320,3
321,9
322,5
323,2
324,9
325,9
326,3
327,9
328,2
329,5
330,5
331,9
332,3
333,4
334,2
335,2
336,2
337,2
338,3
339,3
340,9
341,2
342,2
343,2
344,4
345,3
346,5
347,2
348,2
349,3
350,5
351,5
352,4
353,4
354,4
355,5
356,3
357,5
358,5
359,9
360,3
361,3
362,5
363,5
364,9
365,5
366,9
367,2
368,9
369,2
370,2
371,3
372,2
373,3
374,2
375,5
376,9
377,5
378,4
379,5
380,5
381,2
382,2
383,5
384,9
385,3
386,2
387,3
388,5
389,2
390,9
391,3
392,5
393,5
394,5
395,5
396,3
397,9
398,3
399,3
400,4
401,9
402,2
403,5
404,5
405,4
406,9
407,2
408,2
409,2
410,2
411,3
412,9
413,2
414,2
415,2
416,2
417,5
418,5
419,3
420,5
421,9
422,9
423,4
424,5
425,5
426,2
427,3
428,3
429,5
430,3
431,5
432,9
433,9
434,2
435,3
436,9
437,5
438,5
439,5
440,9
441,4
442,3
443,5
444,5
445,9
446,9
447,2
448,2
449,2
450,5
451,3
452,3
453,3
454,9
455,9
456,9
457,2
458,2
459,9
460,5
461,5
462,3
463,3
464,9
465,5
466,3
467,9
468,9
469,2
470,9
471,2
472,9
473,3
474,9
475,3
476,9
477,2
478,9
479,2
480,5
481,9
482,3
483,3
484,9
485,9
486,5
487,3
488,5
489,4
490,2
491,9
492,2
493,3
494,9
495,9
496,2
497,5
498,9
499,5
500,2
501,4
502,9
503,5
504,3
505,3
506,3
507,9
508,2
509,5
510,3
511,5
512,5
513,9
514,5
515,5
516,4
517,3
518,3
519,4
520,5
521,2
522,5
523,4
524,5
525,2
526,5
527,3
528,9
529,5
530,5
531,5
532,5
533,5
534,5
535,5
536,9
537,5
538,5
539,4
540,9
541,9
542,3
543,9
544,3
545,3
546,9
547,2
548,2
549,5
550,5
551,9
552,2
553,9
554,5
555,5
556,5
557,9
558,3
559,5
560,9
561,5
562,3
563,3
564,5
565,5
566,5
567,5
568,3
569,3
570,2
571,5
572,5
573,5
574,5
575,5
576,2
577,5
578,5
579,9
580,5
581,2
582,2
583,3
584,4
585,3
586,9
587,5
588,5
589,3
590,2
591,2
592,5
593,5
594,2
595,3
596,9
597,9
598,9
599,5
600,5
601,5
602,2
603,2
604,5
605,9
606,5
607,5
608,4
609,3
610,3
611,9
612,5
613,5
614,9
615,5
616,5
617,5
618,5
619,9
620,4
621,2
622,9
623,4
624,9
625,9
626,5
627,2
628,3
629,5
630,2
631,5
632,3
633,9
634,5
635,9
636,5
637,5
638,2
639,2
640,3
641,5
642,5
643,5
644,5
645,3
646,2
647,5
648,5
649,5
650,5
651,5
652,3
653,2
654,9
655,5
656,9
657,3
658,5
659,5
660,3
661,9
662,5
663,5
664,4
665,3
666,5
667,5
668,5
669,5
670,5
671,5
672,9
673,2
674,2
675,9
676,2
677,3
678,2
679,2
680,9
681,9
682,5
683,5
684,3
685,5
686,5
687,5
688,5
689,9
690,2
691,3
692,3
693,5
694,9
695,5
696,5
697,3
698,5
699,5
700,9
701,4
702,4
703,2
704,5
705,5
706,9
707,5
708,5
709,9
710,5
711,5
712,4
713,3
714,5
715,4
716,5
717,5
718,5
719,5
720,2
721,3
722,5
723,5
724,5
725,2
726,3
727,2
728,2
729,2
730,3
731,5
732,2
733,5
734,3
735,3
736,5
737,2
738,3
739,9
740,5
741,9
742,5
743,5
744,5
745,5
746,9
747,5
748,5
749,5
750,5
751,5
752,5
753,5
754,2
755,2
756,3
757,5
758,5
759,2
760,2
761,9
762,9
763,3
764,5
765,3
766,3
767,3
768,9
769,2
770,2
771,9
772,5
773,5
774,3
775,9
776,5
777,5
778,5
779,5
780,3
781,3
782,5
783,5
784,9
785,5
786,5
787,5
788,5
789,5
790,5
791,2
792,2
793,5
794,2
795,3
796,9
797,2
798,9
799,3
800,2
801,3
802,3
803,3
804,2
805,2
806,5
