R,italian
1,3
2,2
3,2
4,3
5,3
6,3
7,4
8,3
9,3
10,11
11,3
12,11
13,3
14,2
15,3
16,3
17,11
18,3
19,3
20,4
21,4
22,4
23,11
24,3
25,3
26,11
27,3
28,3
29,3
30,4
31,3
32,3
33,6
34,11
35,3
36,11
37,3
38,11
39,4
40,4
41,11
42,4
43,5
44,11
45,6
46,3
47,3
48,6
49,4
50,3
51,11
52,3
53,3
54,2
55,3
56,11
57,11
58,2
59,11
60,4
61,3
62,11
63,3
64,3
65,2
66,4
67,11
68,4
69,11
70,5
71,4
72,4
73,11
74,11
75,3
76,2
77,2
78,3
79,3
80,4
81,2
82,4
83,4
84,2
85,4
86,2
87,2
88,11
89,5
90,4
91,3
92,4
93,5
94,11
95,6
96,2
97,2
98,4
99,2
100,2
101,2
102,2
103,4
104,3
105,11
106,2
107,11
108,11
109,2
110,11
111,11
112,4
113,2
114,3
115,2
116,2
117,3
118,3
119,2
120,2
121,2
122,11
123,3
124,6
125,11
126,4
127,2
128,4
129,11
130,2
131,2
132,2
133,3
134,6
135,6
136,3
137,3
138,2
139,11
140,4
141,4
142,11
143,11
144,3
145,11
146,6
147,6
148,6
149,3
150,11
151,11
152,6
153,5
154,3
155,4
156,3
157,11
158,11
159,3
160,4
161,11
162,2
163,2
164,6
165,6
166,2
167,2
168,2
169,3
170,2
171,6
172,6
173,3
174,6
175,6
176,5
177,11
178,3
179,3
180,4
181,11
182,4
183,11
184,2
185,3
186,2
187,2
188,2
189,3
190,3
191,4
192,6
193,11
194,11
195,3
196,3
197,11
198,2
199,4
200,3
201,3
202,11
203,4
204,3
205,2
206,11
207,11
208,11
209,3
210,4
211,4
212,4
213,4
214,11
215,6
216,5
217,11
218,6
219,11
220,6
221,6
222,3
223,4
224,3
225,2
226,2
227,2
228,4
229,11
230,11
231,3
232,2
233,2
234,11
235,4
236,11
237,3
238,4
239,11
240,11
241,11
242,11
243,3
244,4
245,2
246,3
247,3
248,4
249,2
250,3
251,2
252,4
253,2
254,2
255,4
256,4
257,4
258,4
259,6
260,11
261,3
262,6
263,11
264,4
265,4
266,11
267,11
268,11
269,3
270,3
271,4
272,2
273,11
274,3
275,11
276,6
277,2
278,11
279,4
280,6
281,4
282,6
283,4
284,6
285,6
286,6
287,4
288,6
289,5
290,3
291,11
292,2
293,11
294,6
295,4
296,2
297,3
298,2
299,2
300,2
301,4
302,4
303,3
304,3
305,2
306,2
307,2
308,6
309,4
310,3
311,11
312,3
313,2
314,4
315,6
316,2
317,3
318,6
319,6
320,4
321,2
322,2
323,3
324,4
325,2
326,2
327,5
328,11
329,6
330,6
331,11
332,3
333,4
334,4
335,6
336,2
337,5
338,2
339,4
340,3
341,5
342,11
343,2
344,2
345,4
346,3
347,11
348,2
349,11
350,6
351,11
352,11
353,4
354,2
355,4
356,4
357,6
358,11
359,4
360,3
361,4
362,11
363,4
364,3
365,3
366,3
367,4
368,6
369,4
370,3
371,11
372,4
373,3
374,11
375,2
376,2
377,2
378,2
379,2
380,2
381,4
382,2
383,11
384,11
385,11
386,11
387,2
388,2
389,3
390,4
391,4
392,3
393,2
394,4
395,3
396,4
397,4
398,6
399,3
400,11
401,4
402,11
403,4
404,6
405,3
406,2
407,6
408,6
409,6
410,6
411,11
412,6
413,4
414,11
