R,vietnamese
1,2
2,4
3,4
4,2
5,7
6,7
7,7
8,4
9,4
10,7
11,7
12,3
13,7
14,7
15,4
16,7
17,4
18,4
19,3
20,2
21,2
22,2
23,3
24,7
25,2
26,2
27,3
28,7
29,2
30,7
31,7
32,2
33,7
34,3
35,7
36,7
37,7
38,3
39,4
40,2
41,3
42,2
43,4
44,4
45,4
46,3
47,2
48,2
49,3
50,3
51,7
52,7
53,3
54,3
55,2
56,2
57,2
58,4
59,2
60,2
61,7
62,4
63,4
64,7
65,4
66,4
67,2
68,2
69,4
70,4
71,4
72,2
73,2
74,2
75,4
76,2
77,3
78,2
79,4
80,4
81,4
82,4
83,4
84,4
85,2
86,7
87,7
88,2
89,2
90,4
91,2
92,2
93,2
94,2
95,7
96,7
97,7
98,2
99,4
100,7
101,7
102,3
103,4
104,7
105,4
106,7
107,2
108,7
109,7
110,7
111,2
112,2
113,4
114,3
115,3
116,7
117,4
118,4
119,4
120,4
121,7
122,7
123,7
124,4
125,4
126,2
127,3
128,7
129,4
130,3
131,4
132,4
133,4
134,2
135,2
136,7
137,7
138,7
139,2
140,2
141,2
142,2
143,7
144,7
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,7
155,7
156,4
157,4
158,7
159,7
160,7
161,2
162,2
163,4
164,4
165,4
166,4
167,7
168,4
169,4
170,3
171,4
172,2
173,7
174,2
175,2
176,2
177,2
178,2
179,7
180,3
181,2
182,2
183,2
184,7
185,7
186,3
187,3
188,4
189,2
190,3
191,7
192,7
193,7
194,2
195,2
196,2
197,3
198,3
199,4
200,3
201,7
202,7
203,7
204,3
205,3
206,4
207,4
208,2
209,7
210,3
211,2
212,4
213,2
214,7
215,2
216,2
217,2
218,2
219,4
220,2
221,2
222,7
223,2
224,2
225,3
226,3
227,7
228,3
229,7
230,4
231,4
232,4
233,4
234,2
235,7
236,2
237,4
238,4
239,4
240,4
241,4
242,2
243,2
244,4
245,7
246,3
247,4
248,2
249,7
250,4
251,7
252,4
253,4
254,4
255,7
256,7
257,4
258,7
259,4
260,4
261,4
262,4
263,2
264,4
265,4
266,3
267,2
268,2
269,7
270,7
271,2
272,3
273,7
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,2
286,7
287,2
288,2
289,7
290,2
291,2
292,4
293,4
294,4
295,3
296,7
297,4
298,2
299,3
300,3
301,3
302,2
303,3
304,7
305,4
306,7
307,3
308,7
309,4
310,7
311,7
312,4
313,7
314,4
315,4
316,4
317,7
318,4
319,4
320,7
321,4
322,4
323,3
324,4
325,7
326,4
327,2
328,7
329,2
330,7
331,2
332,7
333,4
334,7
335,4
336,7
337,7
338,2
339,2
340,4
341,2
342,2
343,3
344,4
345,2
346,4
347,2
348,7
349,2
350,7
351,2
352,2
353,3
354,3
355,4
356,4
357,4
358,4
359,7
360,3
361,2
362,4
363,4
364,3
365,4
366,7
367,4
368,2
369,4
370,2
371,4
372,7
373,4
374,4
375,4
376,3
377,4
378,4
379,4
380,4
381,4
382,2
383,4
384,4
385,4
386,7
387,7
388,4
389,2
390,2
391,2
392,2
393,4
394,4
395,4
396,2
397,2
398,4
399,2
400,7
401,4
402,4
403,4
404,4
405,4
406,7
407,4
408,4
409,4
410,2
411,4
412,4
413,2
414,2
415,2
416,2
417,4
418,4
419,7
420,4
421,2
422,4
423,4
424,4
425,4
426,7
427,2
428,7
429,4
430,4
431,2
432,4
433,4
434,2
435,3
436,4
437,4
438,7
439,4
440,2
441,4
442,7
443,4
444,4
445,4
446,2
447,7
448,7
449,4
450,4
451,7
452,7
453,3
454,2
455,4
456,4
457,2
458,2
459,7
460,4
461,4
462,4
463,2
464,3
465,7
466,2
467,2
468,2
469,4
470,4
471,4
472,4
473,4
474,7
475,4
476,3
477,4
478,3
479,4
480,4
481,4
482,4
483,2
484,2
485,2
486,7
487,3
488,7
489,4
490,7
491,4
492,3
493,7
494,7
495,4
496,4
497,4
498,4
499,4
500,4
501,7
502,4
503,4
504,4
505,2
506,3
507,4
508,4
509,4
510,7
511,4
512,4
513,4
514,7
515,4
516,4
517,3
518,4
519,2
520,7
521,4
522,4
523,4
524,4
525,2
526,4
527,7
528,4
529,4
530,3
531,4
532,4
533,4
534,4
535,4
536,2
537,2
538,7
539,4
540,4
541,2
542,7
543,4
544,4
545,4
546,7
547,4
548,4
549,4
550,2
551,2
552,2
553,4
554,4
555,4
556,7
557,7
558,4
559,4
560,3
561,4
562,4
563,7
564,7
565,4
566,4
567,4
568,4
569,4
570,7
571,2
572,4
573,4
574,4
575,4
576,7
577,4
578,4
579,7
580,7
581,4
582,7
583,2
584,2
585,2
586,4
587,2
588,4
589,4
590,4
591,4
592,7
593,4
594,4
595,4
596,3
597,4
598,7
599,4
600,4
601,4
602,2
603,4
604,2
605,7
606,7
607,7
608,4
609,2
610,2
611,4
612,4
613,4
614,7
615,4
616,4
617,7
618,4
619,7
620,7
621,2
622,4
623,4
624,2
625,7
626,4
627,2
628,7
629,7
630,4
631,4
632,7
633,2
634,2
635,2
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,2
645,7
646,4
647,4
648,4
649,4
650,4
651,4
652,2
653,2
654,4
655,4
656,4
657,2
658,4
659,4
660,3
661,4
662,4
663,4
664,4
665,4
666,4
667,4
668,4
669,4
670,7
671,7
672,4
673,4
674,4
675,2
676,7
677,4
678,2
679,2
680,4
681,4
682,7
683,3
684,2
685,7
686,4
687,4
688,4
689,7
690,4
691,4
692,7
693,4
694,4
695,2
696,4
697,7
698,7
699,7
700,4
701,4
702,4
703,7
704,4
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,4
713,2
714,2
715,4
716,4
717,4
718,7
719,4
720,7
721,7
722,4
723,4
724,4
725,4
726,4
727,7
728,7
729,2
730,7
731,2
732,2
733,4
734,7
735,7
736,4
737,2
738,7
739,4
740,4
741,4
742,4
743,4
744,4
745,2
746,2
747,7
748,4
749,4
750,4
751,7
752,4
753,3
754,4
755,4
756,7
757,4
758,4
759,4
760,3
761,4
762,4
763,4
764,4
765,7
766,7
767,2
768,4
769,2
770,7
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,4
779,2
780,7
781,4
782,4
783,4
784,4
785,4
786,4
787,4
788,2
789,4
790,4
791,3
792,2
793,4
794,7
795,4
796,4
797,7
798,7
799,4
800,3
801,4
802,4
803,4
804,7
805,3
806,2
807,4
808,2
809,4
810,2
811,2
812,2
813,2
814,4
815,4
816,4
817,7
818,4
819,4
820,7
821,7
822,7
823,4
824,4
825,7
826,4
827,4
828,2
829,4
830,7
831,7
832,7
833,2
834,4
835,4
836,7
837,4
838,7
839,4
840,4
841,4
842,7
843,4
844,7
845,7
846,2
847,4
848,2
849,7
850,4
851,4
852,4
853,4
854,4
855,3
856,7
857,2
858,4
859,4
860,4
861,4
862,4
863,4
864,4
865,2
866,2
867,4
868,4
869,4
870,4
871,2
872,4
873,4
874,7
875,4
876,7
877,7
878,4
879,4
880,2
881,2
882,4
883,4
884,2
885,4
886,2
887,4
888,2
889,2
890,4
891,4
892,4
893,4
894,4
895,4
896,7
897,4
898,7
899,4
900,2
901,4
902,2
903,2
904,2
905,7
906,2
907,2
908,4
909,2
910,2
911,7
912,4
913,2
914,4
915,4
916,7
917,7
918,4
919,2
920,4
921,7
922,4
923,4
924,7
925,4
926,2
927,4
928,4
929,7
930,2
931,4
932,2
933,4
934,2
935,7
936,4
937,4
938,4
939,2
940,2
941,7
942,2
943,2
944,4
