R,thai
1,3
2,6
3,4
4,3
5,4
6,3
7,4
8,11
9,6
10,11
11,4
12,11
13,4
14,11
15,6
16,4
17,11
18,6
19,11
20,3
21,11
22,2
23,4
24,11
25,4
26,2
27,11
28,11
29,4
30,4
31,11
32,2
33,4
34,4
35,4
36,4
37,11
38,11
39,6
40,3
41,4
42,2
43,11
44,6
45,6
46,11
47,3
48,2
49,11
50,11
51,4
52,6
53,11
54,11
55,2
56,2
57,3
58,11
59,3
60,4
61,4
62,6
63,6
64,11
65,6
66,6
67,2
68,3
69,6
70,11
71,6
72,3
73,2
74,2
75,11
76,3
77,11
78,4
79,6
80,3
81,11
82,6
83,6
84,6
85,3
86,3
87,6
88,2
89,2
90,6
91,2
92,3
93,3
94,3
95,11
96,4
97,3
98,4
99,6
100,6
101,4
102,11
103,4
104,3
105,6
106,11
107,2
108,3
109,11
110,11
111,2
112,2
113,6
114,11
115,3
116,11
117,6
118,6
119,6
120,11
121,4
122,3
123,2
124,11
125,4
126,2
127,4
128,3
129,6
130,6
131,6
132,6
133,6
134,2
135,2
136,2
137,3
138,4
139,2
140,2
141,3
142,2
143,3
144,2
145,3
146,2
147,4
148,2
149,2
150,2
151,3
152,2
153,2
154,11
155,6
156,6
157,6
158,3
159,2
160,4
161,2
162,2
163,3
164,3
165,1
166,11
167,3
168,6
169,6
170,4
171,3
172,2
173,4
174,2
175,2
176,2
177,4
178,4
179,4
180,11
181,2
182,4
183,3
184,3
185,4
186,5
187,11
188,4
189,3
190,4
191,4
192,6
193,3
194,3
195,3
196,3
197,11
198,11
199,6
200,4
