R,greek
1,2
2,2
3,2
4,3
5,2
6,2
7,3
8,2
9,1
10,2
11,2
12,9
13,2
14,2
15,3
16,3
17,5
18,5
19,3
20,9
21,3
22,4
23,5
24,3
25,9
26,4
27,3
28,5
29,3
30,2
31,2
32,3
33,5
34,9
35,3
36,5
37,2
38,4
39,2
40,4
41,9
42,9
43,5
44,5
45,5
46,3
47,9
48,5
49,2
50,3
51,9
52,9
53,3
54,2
55,9
56,4
57,4
58,2
59,5
60,3
61,2
62,5
63,5
64,9
65,3
66,5
67,5
68,9
69,5
70,5
71,9
72,2
73,4
74,4
75,2
76,3
77,2
78,3
79,3
80,3
81,2
82,5
83,5
84,5
85,9
86,9
87,4
88,4
89,5
90,5
91,3
92,9
93,5
94,9
95,5
96,3
97,9
98,4
99,9
100,2
101,3
102,2
103,5
104,2
105,5
106,9
107,4
108,9
109,2
110,4
111,4
112,3
113,9
114,3
115,3
116,3
117,5
118,5
119,5
120,3
121,2
122,5
123,9
124,2
125,5
126,4
127,2
128,4
129,2
130,3
131,5
132,9
133,3
134,5
135,5
136,3
137,9
138,9
139,5
140,3
141,5
142,4
143,4
144,3
145,9
146,5
147,5
148,9
149,2
150,5
151,9
152,5
153,5
154,2
155,5
156,2
157,5
158,3
159,3
160,9
161,5
162,9
163,3
164,5
165,5
166,4
167,9
168,2
169,2
170,2
171,5
172,5
173,2
174,5
175,5
176,5
177,5
178,3
179,2
180,9
181,4
182,5
183,9
184,9
185,5
186,3
187,4
188,9
189,9
190,3
191,5
192,5
193,5
194,5
195,9
196,9
197,4
198,2
199,9
200,3
