R,moroccan
1,5
2,2
3,5
4,3
5,3
6,2
7,3
8,2
9,3
10,3
11,2
12,9
13,3
14,3
15,3
16,9
17,5
18,5
19,9
20,9
21,9
22,9
23,9
24,9
25,2
26,4
27,9
28,5
29,3
30,3
31,2
32,3
33,9
34,2
35,2
36,5
37,2
38,9
39,5
40,9
41,2
42,2
43,9
44,5
45,3
46,3
47,9
48,3
49,2
50,4
51,1
52,3
53,9
54,2
55,5
56,2
57,4
58,2
59,5
60,9
61,2
62,5
63,2
64,3
65,9
66,2
67,5
68,5
69,5
70,5
71,5
72,5
73,4
74,2
75,2
76,9
77,2
78,3
79,9
80,5
81,9
82,5
83,5
84,5
85,3
86,9
87,5
88,5
89,3
90,5
91,3
92,3
93,5
94,4
95,5
96,3
97,9
98,5
99,2
100,3
101,3
102,2
103,3
104,2
105,5
106,3
107,2
108,2
109,3
110,4
111,5
112,9
113,5
114,9
115,2
116,5
117,9
118,5
119,5
120,5
121,3
122,2
123,2
124,2
125,2
126,3
127,9
128,2
129,2
130,3
131,5
132,5
133,5
134,5
135,5
136,3
137,3
138,2
139,5
140,5
141,5
142,9
143,5
144,3
145,9
146,5
147,5
148,5
149,2
150,5
151,9
152,5
153,5
154,9
155,5
156,9
157,5
158,3
159,3
160,9
161,5
162,3
163,9
164,5
165,5
166,5
167,5
168,3
169,2
170,2
171,5
172,5
173,9
174,5
175,5
176,9
177,4
178,3
179,3
180,2
181,9
182,3
183,5
184,5
185,9
186,4
187,4
188,5
189,9
190,9
191,5
192,5
193,5
194,5
195,4
196,2
197,5
198,5
199,5
200,9
