R,L
1,1
1,3
1,6
1,9
2,2
3,3
3,1
4,4
4,5
4,6
4,12
4,46
4,47
4,29
4,38
4,14
4,41
4,31
4,35
4,20
4,40
4,26
4,27
4,34
4,25
4,13
4,43
4,37
4,16
4,32
5,5
5,4
5,6
5,16
5,12
5,24
5,26
5,27
5,47
5,34
5,38
5,37
5,35
5,41
5,13
5,40
5,29
5,20
5,19
6,6
6,1
6,4
6,5
6,9
6,14
6,12
6,41
6,13
6,37
6,31
6,38
7,7
8,8
9,9
9,1
9,6
10,10
10,33
11,11
12,12
12,13
12,14
12,16
12,19
12,20
12,5
12,24
12,25
12,26
12,27
12,29
12,31
12,32
12,34
12,35
12,37
12,38
12,40
12,41
12,43
12,47
12,49
12,50
12,4
12,6
13,13
13,12
13,14
13,20
13,43
13,35
13,31
13,4
13,29
13,40
13,5
13,37
13,36
13,6
13,41
13,34
13,23
13,38
13,46
14,14
14,12
14,13
14,16
14,19
14,20
14,6
14,38
14,4
14,41
14,35
14,27
14,24
14,32
14,47
14,26
14,37
14,34
14,29
14,25
15,15
15,46
16,16
16,12
16,14
16,19
16,20
16,5
16,24
16,26
16,27
16,47
16,49
16,50
16,29
16,35
16,40
16,31
16,4
17,17
17,18
18,18
18,17
19,19
19,12
19,14
19,16
19,20
19,35
19,27
19,29
19,47
19,49
19,50
19,5
20,20
20,12
20,13
20,14
20,16
20,19
20,29
20,26
20,4
20,35
20,32
20,31
20,47
20,43
20,34
20,24
20,38
20,41
20,25
20,5
21,21
21,24
21,37
22,22
22,26
23,23
23,41
23,43
23,35
23,13
23,36
23,37
23,38
23,40
23,46
24,24
24,16
24,5
24,12
24,21
24,27
24,38
24,41
24,14
24,20
24,34
24,31
25,25
25,12
25,4
25,34
25,41
25,14
25,20
25,31
25,38
25,46
26,26
26,16
26,5
26,12
26,22
26,20
26,29
26,40
26,4
26,35
26,14
26,47
26,31
27,27
27,16
27,5
27,12
27,24
27,31
27,32
27,34
27,35
27,19
27,37
27,29
27,47
27,49
27,50
27,14
27,4
28,28
29,29
29,20
29,12
29,31
29,32
29,34
29,35
29,19
29,27
29,38
29,40
29,41
29,43
29,46
29,47
29,4
29,26
29,16
29,13
29,14
29,5
30,30
31,31
31,32
31,34
31,35
31,27
31,12
31,29
31,38
31,41
31,4
31,13
31,20
31,47
31,24
31,16
31,6
31,26
31,25
32,32
32,31
32,27
32,12
32,29
32,20
32,14
32,4
33,33
33,10
34,34
34,31
34,35
34,27
34,12
34,29
34,38
34,41
34,43
34,4
34,5
34,25
34,14
34,20
34,24
34,13
34,49
35,35
35,31
35,34
35,19
35,27
35,12
35,37
35,29
35,38
35,40
35,41
35,43
35,46
35,14
35,4
35,13
35,20
35,26
35,47
35,5
35,16
35,23
36,36
36,37
36,38
36,40
36,43
36,46
36,13
36,23
37,37
37,35
37,36
37,27
37,12
37,40
37,41
37,43
37,21
37,14
37,5
37,13
37,4
37,6
37,23
38,38
38,31
38,34
38,35
38,36
38,12
38,29
38,40
38,41
38,43
38,14
38,4
38,24
38,5
38,20
38,13
38,23
38,25
38,6
39,39
39,44
39,45
40,40
40,35
40,36
40,12
40,37
40,29
40,38
40,41
40,43
40,26
40,4
40,13
40,47
40,5
40,16
40,23
41,41
41,31
41,34
41,35
41,12
41,37
41,29
41,38
41,40
41,43
41,49
41,14
41,4
41,24
41,5
41,23
41,6
41,20
41,25
41,13
42,42
43,43
43,34
43,35
43,36
43,12
43,37
43,29
43,38
43,40
43,41
43,46
43,13
43,48
43,4
43,20
43,23
44,44
44,39
45,45
45,39
46,46
46,35
46,36
46,29
46,43
46,4
46,15
46,25
46,13
46,23
47,47
47,27
47,16
47,12
47,49
47,19
47,50
47,4
47,29
47,5
47,14
47,26
47,20
47,35
47,31
47,40
48,48
48,43
49,49
49,47
49,27
49,16
49,12
49,19
49,50
49,41
49,34
50,50
50,47
50,27
50,16
50,12
50,49
50,19
