R,korean
1,7
2,4
3,4
4,2
5,7
6,3
7,2
8,4
9,4
10,7
11,7
12,3
13,3
14,7
15,4
16,2
17,4
18,4
19,3
20,2
21,7
22,7
23,7
24,7
25,2
26,2
27,3
28,4
29,2
30,7
31,2
32,3
33,4
34,3
35,7
36,7
37,7
38,3
39,4
40,7
41,4
42,7
43,4
44,4
45,4
46,3
47,2
48,2
49,3
50,3
51,2
52,4
53,3
54,3
55,7
56,3
57,7
58,3
59,2
60,2
61,2
62,4
63,4
64,7
65,4
66,4
67,4
68,2
69,4
70,3
71,7
72,7
73,3
74,3
75,4
76,4
77,3
78,7
79,4
80,2
81,4
82,4
83,4
84,4
85,2
86,2
87,7
88,2
89,2
90,7
91,7
92,7
93,2
94,2
95,4
96,7
97,2
98,7
99,4
100,2
101,2
102,3
103,4
104,2
105,4
106,3
107,3
108,3
109,3
110,3
111,3
112,2
113,4
114,7
115,3
116,3
117,4
118,3
119,4
120,4
121,7
122,4
123,3
124,4
125,4
126,2
127,2
128,7
129,3
130,4
131,4
132,4
133,4
134,4
135,2
136,7
137,3
138,7
139,2
140,2
141,4
142,3
143,2
144,3
145,2
146,4
147,7
148,4
149,4
150,3
151,2
152,7
153,2
154,3
155,4
156,4
157,4
158,2
159,2
160,7
161,2
162,7
163,7
164,4
165,4
166,4
167,4
168,4
169,4
170,4
171,4
172,2
173,2
174,7
175,2
176,7
177,2
178,4
179,4
180,3
181,7
182,2
183,7
184,7
185,4
186,4
187,3
188,4
189,4
190,3
191,4
192,4
193,2
194,2
195,7
196,2
197,4
198,3
199,4
200,7
201,3
202,7
203,7
204,7
205,4
206,4
207,4
208,7
209,3
210,7
211,2
212,7
213,2
214,7
215,7
216,2
217,4
218,4
219,2
220,4
221,2
222,2
223,2
224,2
225,4
226,4
227,3
228,3
229,4
230,4
231,4
232,4
233,4
234,4
235,7
236,3
237,4
238,3
239,3
240,3
241,4
242,4
243,7
244,7
245,3
246,3
247,7
248,2
249,7
250,4
251,4
252,4
253,4
254,4
255,7
256,2
257,4
258,2
259,4
260,4
261,3
262,4
263,4
264,3
265,7
266,4
267,3
268,7
269,2
270,4
271,2
272,3
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,3
282,4
283,4
284,4
285,2
286,2
287,7
288,2
289,2
290,2
291,2
292,4
293,4
294,4
295,4
296,7
297,7
298,3
299,3
300,3
301,3
302,2
303,3
304,3
305,4
306,7
307,4
308,4
309,7
310,2
311,4
312,4
313,2
314,4
315,4
316,7
317,7
318,4
319,4
320,2
321,4
322,4
323,4
324,4
325,7
326,4
327,3
328,4
329,4
330,4
331,2
332,4
333,7
334,7
335,4
336,3
337,4
338,7
339,2
340,4
341,2
342,7
343,4
344,3
345,7
346,4
347,4
348,7
349,2
350,1
351,2
352,2
353,3
354,7
355,4
356,4
357,4
358,4
359,2
360,4
361,2
362,4
363,4
364,7
365,4
366,7
367,4
368,2
369,3
370,2
371,4
372,4
373,4
374,4
375,4
376,7
377,4
378,3
379,4
380,4
381,4
382,7
383,4
384,4
385,4
386,7
387,4
388,4
389,7
390,4
391,4
392,4
393,4
394,4
395,4
396,7
397,7
398,4
399,2
400,3
401,4
402,2
403,4
404,4
405,7
406,4
407,4
408,4
409,4
410,7
411,4
412,4
413,3
414,3
415,4
416,4
417,4
418,4
419,7
420,2
421,2
422,4
423,4
424,4
425,4
426,7
427,2
428,4
429,7
430,4
431,2
432,4
433,4
434,2
435,3
436,4
437,4
438,4
439,4
440,2
441,4
442,7
443,4
444,4
445,4
446,4
447,3
448,7
449,3
450,4
451,4
452,7
453,4
454,2
455,4
456,4
457,7
458,2
459,4
460,4
461,4
462,4
463,2
464,3
465,7
466,2
467,2
468,2
469,3
470,7
471,4
472,4
473,2
474,7
475,4
476,4
477,4
478,4
479,4
480,4
481,3
482,4
483,2
484,2
485,2
486,2
487,3
488,7
489,3
490,7
491,4
492,7
493,7
494,3
495,4
496,4
497,4
498,4
499,4
500,7
