R,southern_us
1,4
2,11
3,4
4,4
5,3
6,4
7,3
8,11
9,11
10,4
11,3
12,5
13,4
14,3
15,3
16,2
17,2
18,2
19,2
20,3
21,2
22,4
23,11
24,2
25,3
26,5
27,2
28,3
29,3
30,4
31,3
32,4
33,6
34,2
35,4
36,5
37,3
38,4
39,6
40,4
41,11
42,4
43,5
44,11
45,6
46,3
47,2
48,5
49,2
50,2
51,3
52,2
53,2
54,4
55,3
56,11
57,4
58,4
59,11
60,2
61,3
62,6
63,6
64,2
65,3
66,3
67,4
68,3
69,11
70,5
71,2
72,4
73,11
74,11
75,11
76,4
77,4
78,3
79,2
80,11
81,11
82,2
83,3
84,4
85,3
86,11
87,3
88,11
89,11
90,2
91,4
92,3
93,5
94,4
95,6
96,5
97,3
98,3
99,11
100,11
101,3
102,3
103,6
104,4
105,4
106,3
107,11
108,11
109,4
110,11
111,11
112,11
113,11
114,2
115,4
116,2
117,4
118,2
119,6
120,2
121,3
122,11
123,11
124,6
125,6
126,5
127,11
128,2
129,11
130,2
131,3
132,4
133,11
134,6
135,11
136,4
137,3
138,3
139,11
140,3
141,6
142,4
143,4
144,4
145,6
146,11
147,5
148,4
149,4
150,6
151,11
152,6
153,6
154,11
155,4
156,3
157,2
158,11
159,4
160,11
161,6
162,11
163,11
164,11
165,6
166,6
167,11
168,11
169,6
170,3
171,6
172,5
173,3
174,5
175,5
176,3
177,3
178,4
179,4
180,2
181,11
182,4
183,4
184,4
185,4
186,4
187,2
188,5
189,3
190,3
191,6
192,6
193,2
194,4
195,5
196,4
197,5
198,3
199,2
200,2
201,3
202,2
203,4
204,2
205,3
206,3
207,2
208,3
209,3
210,2
211,3
212,2
213,6
214,3
215,6
216,6
217,11
218,6
219,11
220,6
221,6
222,11
223,4
224,2
225,4
226,4
227,3
228,2
229,2
230,2
231,2
232,11
233,3
234,6
235,3
236,11
237,2
238,3
239,2
240,11
241,1
242,2
243,3
244,2
245,2
246,3
247,3
248,2
249,4
250,3
251,11
252,11
253,11
254,6
255,2
256,3
257,6
258,2
259,5
260,11
261,3
262,11
263,11
264,3
265,11
266,11
267,4
268,5
269,3
270,3
271,3
272,3
273,4
274,3
275,2
276,2
277,4
278,6
279,2
280,2
281,2
282,3
283,2
284,2
285,6
286,6
287,3
288,6
289,6
290,11
291,11
292,2
293,2
294,2
295,4
296,3
297,11
298,11
299,4
300,3
301,2
302,3
303,2
304,3
305,11
306,4
307,3
308,11
309,4
310,3
311,3
312,3
313,11
314,2
315,6
316,3
317,3
318,6
319,6
320,4
321,11
322,6
323,4
324,4
325,4
326,3
327,6
328,11
329,6
330,6
331,6
332,2
333,4
334,4
335,11
336,11
337,11
338,2
339,6
340,3
341,11
342,6
343,11
344,4
345,4
346,6
347,11
348,5
349,11
350,6
351,3
352,11
353,2
354,3
355,4
356,4
357,2
358,2
359,2
360,2
361,2
362,6
363,11
364,2
365,6
366,2
367,6
368,4
369,5
370,3
371,4
372,3
373,6
374,11
375,4
376,4
377,4
378,11
379,4
380,11
381,5
382,4
383,6
384,11
385,6
386,2
387,6
388,5
389,11
390,2
391,2
392,6
393,4
394,2
395,3
396,6
397,2
398,2
399,4
400,2
401,2
402,4
403,3
404,6
405,4
406,2
407,6
408,11
409,11
410,5
411,6
412,3
413,4
414,4
415,6
416,11
417,4
418,6
419,2
420,4
421,2
422,6
423,4
424,2
425,4
426,11
427,4
428,3
429,2
430,2
431,3
432,2
433,4
434,3
435,2
436,2
437,11
438,4
439,6
440,4
441,11
442,4
443,4
444,11
445,11
446,2
447,11
448,11
449,11
450,6
451,3
452,3
453,4
454,11
455,2
456,2
457,11
458,4
459,2
460,6
461,2
462,2
463,4
464,4
465,4
466,11
467,11
468,5
469,3
470,6
471,4
472,2
473,2
474,4
475,3
476,3
477,3
478,2
479,3
480,11
481,3
482,4
483,2
484,11
485,6
486,6
487,3
488,6
489,11
490,6
491,3
492,3
493,4
494,3
495,11
496,11
497,6
498,5
499,6
500,6
