R,spanish
1,9
2,3
3,3
4,3
5,3
6,3
7,9
8,2
9,9
10,9
11,2
12,4
13,2
14,3
15,3
16,3
17,9
18,4
19,3
20,9
21,3
22,4
23,4
24,4
25,2
26,4
27,9
28,5
29,3
30,5
31,3
32,3
33,3
34,3
35,3
36,5
37,3
38,9
39,5
40,9
41,3
42,3
43,5
44,5
45,5
46,2
47,3
48,5
49,3
50,3
51,4
52,9
53,4
54,2
55,2
56,3
57,3
58,2
59,3
60,3
61,2
62,2
63,3
64,3
65,9
66,9
67,9
68,3
69,5
70,4
71,9
72,4
73,9
74,3
75,3
76,9
77,2
78,2
79,2
80,2
81,3
82,9
83,9
84,5
85,4
86,3
87,2
88,5
89,4
90,9
91,2
92,9
93,5
94,9
95,5
96,9
97,3
98,9
99,2
100,9
101,2
102,2
103,5
104,2
105,3
106,3
107,9
108,9
109,2
110,3
111,4
112,4
113,9
114,9
115,2
116,2
117,5
118,3
119,5
120,9
121,3
122,9
123,3
124,5
125,9
126,9
127,3
128,9
129,5
130,9
131,9
132,4
133,5
134,5
135,5
136,2
137,3
138,3
139,5
140,9
141,5
142,3
143,3
144,9
145,9
146,5
147,5
148,5
149,2
150,5
151,2
152,5
153,5
154,3
155,5
156,2
157,5
158,4
159,2
160,2
161,5
162,5
163,2
164,5
165,5
166,9
167,9
168,2
169,2
170,2
171,5
172,5
173,9
174,5
175,5
176,5
177,9
178,9
179,2
180,2
181,3
182,2
183,3
184,9
185,9
186,4
187,3
188,9
189,9
190,2
191,5
192,5
193,9
194,5
195,9
196,9
197,4
198,9
199,5
200,2
201,3
202,3
203,2
204,3
205,2
206,3
207,5
208,5
209,9
210,3
211,2
212,4
213,5
214,3
215,5
216,5
217,9
218,3
219,9
220,9
221,5
222,3
223,9
224,3
225,9
226,2
227,2
228,3
229,2
230,5
231,3
232,2
233,9
234,5
235,2
236,5
237,4
238,4
239,5
240,4
241,9
242,9
243,3
244,5
245,3
246,2
247,9
248,4
249,2
250,5
251,5
252,5
253,5
254,9
255,2
256,2
257,5
258,5
259,5
260,5
261,2
262,5
263,5
264,4
265,9
266,9
267,4
268,3
269,9
270,3
271,3
272,2
273,5
274,3
275,5
276,5
277,2
278,5
279,9
280,9
281,4
282,5
283,5
284,9
285,5
286,5
287,9
288,5
289,5
290,4
291,5
292,3
293,5
294,5
295,4
296,2
297,2
298,2
299,2
300,3
301,4
302,3
303,9
304,2
305,5
306,2
307,2
308,5
309,5
310,9
311,9
312,2
313,9
314,9
315,5
316,5
317,3
318,5
319,5
320,3
321,5
322,9
323,2
324,3
325,3
326,2
327,4
328,5
329,5
330,5
331,5
332,5
333,2
334,2
335,5
336,2
337,4
338,3
339,3
340,3
341,4
342,9
343,3
344,3
345,5
346,5
347,4
348,3
349,5
350,5
351,5
352,4
353,9
354,2
355,5
356,5
357,5
358,5
359,5
360,3
361,9
362,2
363,2
364,3
365,3
366,5
367,9
368,5
369,2
370,3
371,5
372,3
373,5
374,4
375,3
376,2
377,2
378,5
379,2
380,4
381,2
382,9
383,9
384,9
385,3
386,3
387,2
388,9
389,3
390,2
391,2
392,5
393,5
394,5
395,5
396,3
397,5
398,5
399,3
400,4
401,5
402,5
403,5
404,5
405,1
406,2
407,5
408,5
409,5
410,4
411,2
412,5
413,3
414,2
415,5
416,9
417,9
418,5
419,2
420,5
421,9
422,5
423,5
424,9
425,4
426,5
427,3
428,2
429,2
430,9
431,5
432,9
433,2
434,9
435,3
436,5
437,5
438,9
439,5
440,9
441,3
442,9
443,5
444,9
445,5
446,5
447,9
448,9
449,9
450,5
451,2
452,2
453,3
454,5
455,9
456,2
457,2
458,5
459,5
460,5
461,5
462,3
463,2
464,2
465,5
466,5
467,5
468,5
469,2
470,5
471,2
472,3
473,5
474,3
475,2
476,2
477,2
478,5
479,5
480,5
481,2
482,5
483,9
484,5
485,5
486,5
487,2
488,5
489,4
490,3
491,5
492,3
493,2
494,2
495,5
496,5
497,5
498,4
499,5
500,9
