R,college
1,4
2,4
3,7
4,7
5,7
6,4
7,7
8,4
9,4
10,4
11,4
12,4
13,2
14,2
15,7
16,4
17,4
18,4
19,4
20,4
21,7
22,7
23,4
24,4
25,7
26,4
27,4
28,4
29,4
30,2
31,4
32,2
33,4
34,4
35,2
36,3
37,4
38,2
39,7
40,7
41,2
42,7
43,2
44,4
45,4
46,4
47,4
48,4
49,7
50,4
51,4
52,2
53,7
54,4
55,2
56,2
57,7
58,3
59,3
60,2
61,2
62,4
63,4
64,4
65,4
66,4
67,7
68,4
69,4
70,2
71,7
72,4
73,4
74,2
75,2
76,2
77,2
78,2
79,3
80,7
81,4
82,3
83,4
84,4
85,4
86,2
87,7
88,4
89,7
90,4
91,2
92,2
93,2
94,2
95,2
96,2
97,7
98,2
99,7
100,7
101,4
102,4
103,4
104,4
105,7
106,7
107,7
108,2
109,1
110,2
111,2
112,2
113,2
114,4
115,2
116,4
117,4
118,4
119,4
120,4
121,4
122,7
123,4
124,7
125,2
126,2
127,2
128,2
129,2
130,2
131,3
132,2
133,4
134,2
135,4
136,4
137,4
138,4
139,4
140,4
141,7
142,4
143,7
144,7
145,2
146,2
147,7
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,7
157,4
158,2
159,3
160,7
161,7
162,4
163,7
164,4
165,7
166,4
167,4
168,4
169,2
170,4
171,4
172,4
173,4
174,7
175,7
176,7
177,7
178,7
179,2
180,7
181,4
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,2
192,4
193,7
194,7
195,7
196,7
197,4
198,4
199,2
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,7
212,7
213,4
214,4
215,4
216,2
217,2
218,4
219,4
220,4
221,4
222,4
223,4
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,4
236,4
237,7
238,4
239,7
240,4
241,4
242,2
243,4
244,4
245,4
246,4
247,4
248,4
249,7
250,4
251,4
252,4
253,4
254,4
255,4
256,2
257,7
258,7
259,4
260,4
261,4
262,7
263,4
264,4
265,4
266,2
267,7
268,4
269,4
270,4
271,4
272,4
273,2
274,2
275,4
276,4
277,4
278,4
279,7
280,2
281,7
282,4
283,7
284,4
285,4
286,4
287,2
288,4
289,4
