R,residence
1,5
2,3
3,9
4,3
5,9
6,3
7,2
8,3
9,2
10,9
11,2
12,2
13,9
14,2
15,4
16,5
17,2
18,2
19,9
20,4
21,3
22,9
23,2
24,3
25,2
26,2
27,4
28,9
29,4
30,3
31,1
32,5
33,5
34,2
35,4
36,4
37,4
38,9
39,9
40,5
41,4
42,4
43,9
44,9
45,4
46,5
47,3
48,9
49,9
50,4
51,5
52,9
53,3
54,4
55,2
56,3
57,3
58,9
59,4
60,3
61,3
62,2
63,9
64,2
65,2
66,4
67,5
68,5
69,2
70,4
71,4
72,2
73,9
74,3
75,9
76,9
77,3
78,4
79,3
80,3
81,2
82,3
83,2
84,5
85,3
86,5
87,4
88,4
89,3
90,9
91,9
92,9
93,4
94,4
95,4
96,9
97,9
98,4
99,9
100,3
101,5
102,5
103,3
104,2
105,3
106,2
107,2
108,2
109,3
110,4
111,2
112,9
113,2
114,2
115,3
116,2
117,3
118,5
119,9
120,3
121,9
122,2
123,3
124,2
125,4
126,4
127,9
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,3
136,5
137,5
138,5
139,5
140,9
141,9
142,5
143,4
144,4
145,5
146,9
147,3
148,5
149,4
150,4
151,9
152,5
153,5
154,3
155,2
156,4
157,2
158,4
159,3
160,9
161,3
162,9
163,2
164,2
165,9
166,2
167,9
168,4
169,3
170,9
171,5
172,4
173,2
174,9
175,9
176,4
177,9
178,2
179,3
180,3
181,3
182,9
183,2
184,9
185,9
186,2
187,3
188,5
189,5
190,5
191,5
192,4
193,5
194,5
195,4
196,9
197,5
198,5
199,4
200,5
201,5
202,5
203,5
204,5
205,3
206,5
207,2
208,2
209,5
210,5
211,3
212,2
213,2
214,9
215,3
216,3
217,5
218,5
219,9
220,4
221,5
222,9
223,5
224,5
225,3
226,5
227,3
228,3
229,2
230,3
231,2
232,2
233,5
234,5
235,9
236,5
237,5
238,3
239,9
240,5
241,3
242,5
243,5
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,4
256,5
257,4
258,2
259,3
260,2
261,2
262,9
263,3
264,2
265,2
266,3
267,5
268,9
269,5
270,4
271,5
272,3
273,9
274,5
275,3
276,3
277,5
278,9
279,4
280,9
281,3
282,5
283,3
284,3
285,3
286,9
287,5
288,5
289,4
