R,L
1,1
1,2
1,18
2,2
2,1
2,19
2,3
3,3
3,2
3,4
3,20
4,4
4,21
4,5
4,3
5,5
5,6
5,22
5,4
6,6
6,5
6,23
6,7
7,7
7,6
7,8
7,24
8,8
8,25
8,9
8,7
9,9
9,10
9,26
9,8
10,10
10,9
10,27
10,11
11,11
11,10
11,12
11,28
12,12
12,13
12,29
12,11
13,13
13,12
13,30
13,14
14,14
14,13
14,31
14,15
15,15
15,16
15,32
15,14
16,16
16,17
16,33
16,15
17,17
17,16
17,34
18,18
18,1
18,35
18,19
19,19
19,2
19,18
19,36
19,20
20,20
20,37
20,21
20,19
20,3
21,21
21,38
21,22
21,4
21,20
22,22
22,21
22,5
22,39
22,23
23,23
23,6
23,22
23,40
23,24
24,24
24,41
24,25
24,23
24,7
25,25
25,42
25,26
25,8
25,24
26,26
26,25
26,9
26,43
26,27
27,27
27,10
27,26
27,44
27,28
28,28
28,45
28,27
28,29
28,11
29,29
29,46
29,12
29,30
29,28
30,30
30,47
30,13
30,31
30,29
31,31
31,48
31,32
31,14
31,30
32,32
32,49
32,33
32,15
32,31
33,33
33,16
33,50
33,34
33,32
34,34
34,17
34,51
34,33
35,35
35,52
35,18
35,36
36,36
36,37
36,19
36,35
36,53
37,37
37,38
37,54
37,20
37,36
38,38
38,21
38,37
38,39
38,55
39,39
39,22
39,38
39,40
39,56
40,40
40,57
40,41
40,23
40,39
41,41
41,58
41,42
41,24
41,40
42,42
42,59
42,25
42,41
42,43
43,43
43,60
43,26
43,42
43,44
44,44
44,45
44,27
44,43
44,61
45,45
45,62
45,46
45,44
45,28
46,46
46,45
46,63
46,47
46,29
47,47
47,64
47,46
47,48
47,30
48,48
48,65
48,47
48,49
48,31
49,49
49,48
49,66
49,50
49,32
50,50
50,49
50,67
50,51
50,33
51,51
51,68
51,50
51,34
52,52
52,35
52,69
52,53
53,53
53,52
53,70
53,54
53,36
54,54
54,37
54,71
54,55
54,53
55,55
55,38
55,72
55,56
55,54
56,56
56,73
56,57
56,39
56,55
57,57
57,74
57,58
57,40
57,56
58,58
58,75
58,59
58,57
58,41
59,59
59,76
59,60
59,58
59,42
60,60
60,59
60,43
60,77
60,61
61,61
61,60
61,62
61,78
61,44
62,62
62,45
62,63
62,61
62,79
63,63
63,64
63,46
63,62
63,80
64,64
64,65
64,47
64,63
64,81
65,65
65,64
65,48
65,82
65,66
66,66
66,65
66,49
66,83
66,67
67,67
67,84
67,68
67,50
67,66
68,68
68,85
68,51
68,67
69,69
69,52
69,70
69,86
70,70
70,87
70,71
70,53
70,69
71,71
71,72
71,88
71,54
71,70
72,72
72,89
72,73
72,55
72,71
73,73
73,74
73,90
73,56
73,72
74,74
74,91
74,75
74,57
74,73
75,75
75,76
75,92
75,58
75,74
76,76
76,59
76,75
76,93
76,77
77,77
77,60
77,76
77,78
77,94
78,78
78,95
78,61
78,77
78,79
79,79
79,62
79,80
79,78
79,96
80,80
80,63
80,81
80,97
80,79
81,81
81,64
81,80
81,98
81,82
82,82
82,65
82,81
82,99
82,83
83,83
83,84
83,100
83,66
83,82
84,84
84,85
84,101
84,67
84,83
85,85
85,84
85,102
85,68
86,86
86,103
86,87
86,69
87,87
87,104
87,88
87,70
87,86
88,88
88,105
88,89
88,87
88,71
89,89
89,106
89,90
89,72
89,88
90,90
90,107
90,91
90,89
90,73
91,91
91,108
91,92
91,74
91,90
92,92
92,91
92,75
92,109
92,93
93,93
93,76
93,92
93,110
93,94
94,94
94,111
94,95
94,93
94,77
95,95
95,112
95,78
95,94
95,96
96,96
96,95
96,113
96,97
96,79
97,97
97,80
97,114
97,98
97,96
98,98
98,81
98,115
98,99
98,97
99,99
99,100
99,82
99,98
99,116
100,100
100,101
100,83
100,99
100,117
101,101
101,84
101,102
101,100
101,118
102,102
102,85
102,101
102,119
103,103
103,104
103,120
103,86
104,104
104,121
104,105
104,87
104,103
105,105
105,122
105,106
105,88
105,104
106,106
106,107
106,89
106,105
106,123
107,107
107,108
107,124
107,90
107,106
108,108
108,91
108,107
108,125
108,109
109,109
109,92
109,108
109,126
109,110
110,110
110,111
110,93
110,109
110,127
111,111
111,112
111,128
111,94
111,110
112,112
112,95
112,111
112,113
112,129
113,113
113,112
113,130
113,114
113,96
114,114
114,113
114,131
114,115
114,97
115,115
115,132
115,98
115,114
115,116
116,116
116,133
116,99
116,115
116,117
117,117
117,100
117,116
117,134
117,118
118,118
118,101
118,117
118,135
118,119
119,119
119,102
119,136
119,118
120,120
120,137
120,121
120,103
121,121
121,138
121,122
121,104
121,120
122,122
122,121
122,105
122,139
122,123
123,123
123,122
123,140
123,124
123,106
124,124
124,107
124,123
124,141
124,125
125,125
125,108
125,124
125,142
125,126
126,126
126,125
126,109
126,143
126,127
127,127
127,126
127,144
127,128
127,110
128,128
128,111
128,127
128,145
128,129
129,129
129,112
129,128
129,130
129,146
130,130
130,113
130,147
130,131
130,129
131,131
131,148
131,132
131,114
131,130
132,132
132,149
132,133
132,115
132,131
133,133
133,150
133,132
133,116
133,134
134,134
134,151
134,133
134,117
134,135
135,135
135,136
135,118
135,134
135,152
136,136
136,119
136,135
136,153
137,137
137,138
137,154
137,120
138,138
138,121
138,137
138,155
138,139
139,139
139,122
139,138
139,140
139,156
140,140
140,123
140,139
140,157
140,141
141,141
141,124
141,140
141,142
141,158
142,142
142,125
142,141
142,159
142,143
143,143
143,126
143,142
143,144
143,160
144,144
144,127
144,143
144,161
144,145
145,145
145,128
145,144
145,146
145,162
146,146
146,147
146,129
146,145
146,163
147,147
147,148
147,164
147,130
147,146
148,148
148,149
148,165
148,131
148,147
149,149
149,148
149,166
149,150
149,132
150,150
150,149
150,167
150,151
150,133
151,151
151,168
151,150
151,134
151,152
152,152
152,169
152,151
152,135
152,153
153,153
153,136
153,152
153,170
154,154
154,137
154,155
154,171
155,155
155,138
155,172
155,154
155,156
156,156
156,173
156,155
156,139
156,157
157,157
157,140
157,174
157,156
157,158
158,158
158,175
158,157
158,141
158,159
159,159
159,142
159,158
159,160
159,176
160,160
160,159
160,143
160,161
160,177
161,161
161,144
161,160
161,162
161,178
162,162
162,161
162,145
162,163
162,179
163,163
163,164
163,146
163,180
163,162
164,164
164,165
164,147
164,163
164,181
165,165
165,148
165,166
165,164
165,182
166,166
166,149
166,167
166,165
166,183
167,167
167,168
167,150
167,166
167,184
168,168
168,169
168,151
168,167
168,185
169,169
169,168
169,152
169,186
169,170
170,170
170,169
170,153
170,187
171,171
171,188
171,154
171,172
172,172
172,173
172,189
172,155
172,171
173,173
173,172
173,190
173,156
173,174
174,174
174,173
174,175
174,191
174,157
175,175
175,174
175,158
175,192
175,176
176,176
176,175
176,159
176,177
176,193
177,177
177,160
177,176
177,194
177,178
178,178
178,161
178,177
178,179
178,195
179,179
179,196
179,162
179,180
179,178
180,180
180,197
180,163
180,181
180,179
181,181
181,198
181,164
181,180
181,182
182,182
182,165
182,183
182,181
182,199
183,183
183,166
183,184
183,182
183,200
184,184
184,167
184,183
184,201
184,185
185,185
185,168
185,184
185,186
185,202
186,186
186,169
186,203
186,187
186,185
187,187
187,204
187,170
187,186
188,188
188,205
188,189
188,171
189,189
189,188
189,172
189,206
189,190
190,190
190,173
190,189
190,207
190,191
191,191
191,190
191,174
191,208
191,192
192,192
192,175
192,191
192,209
192,193
193,193
193,192
193,176
193,210
193,194
194,194
194,177
194,193
194,211
194,195
195,195
195,212
195,196
195,194
195,178
196,196
196,213
196,197
196,179
196,195
197,197
197,198
197,196
197,180
197,214
198,198
198,215
198,197
198,181
198,199
199,199
199,216
199,198
199,182
199,200
200,200
200,183
200,199
200,217
200,201
201,201
201,184
201,200
201,218
201,202
202,202
202,203
202,219
202,201
202,185
203,203
203,204
203,220
203,186
203,202
204,204
204,203
204,221
204,187
205,205
205,188
205,206
205,222
206,206
206,189
206,205
206,207
206,223
207,207
207,190
207,206
207,224
207,208
208,208
208,191
208,207
208,225
208,209
209,209
209,226
209,192
209,208
209,210
210,210
210,227
210,193
210,209
210,211
211,211
211,212
211,194
211,210
211,228
212,212
212,213
212,229
212,195
212,211
213,213
213,196
213,212
213,214
213,230
214,214
214,215
214,197
214,213
214,231
215,215
215,216
215,198
215,214
215,232
216,216
216,215
216,199
216,233
216,217
217,217
217,216
217,200
217,234
217,218
218,218
218,235
218,219
218,201
218,217
219,219
219,236
219,220
219,202
219,218
220,220
220,237
220,203
220,221
220,219
221,221
221,238
221,204
221,220
222,222
222,205
222,239
222,223
223,223
223,206
223,222
223,240
223,224
224,224
224,207
224,223
224,241
224,225
225,225
225,242
225,226
225,224
225,208
226,226
226,243
226,227
226,225
226,209
227,227
227,226
227,210
227,244
227,228
228,228
228,227
228,245
228,229
228,211
229,229
229,212
229,246
229,230
229,228
230,230
230,213
230,247
230,231
230,229
231,231
231,248
231,214
231,230
231,232
232,232
232,215
232,231
232,249
232,233
233,233
233,216
233,232
233,250
233,234
234,234
234,235
234,251
234,217
234,233
235,235
235,236
235,252
235,218
235,234
236,236
236,235
236,253
236,237
236,219
237,237
237,236
237,254
237,238
237,220
238,238
238,255
238,237
238,221
239,239
239,222
239,256
239,240
240,240
240,223
240,239
240,241
240,257
241,241
241,258
241,242
241,224
241,240
242,242
242,243
242,259
242,225
242,241
243,243
243,226
243,242
243,260
243,244
244,244
244,227
244,243
244,245
244,261
245,245
245,262
245,246
245,228
245,244
246,246
246,247
246,263
246,229
246,245
247,247
247,264
247,248
247,230
247,246
248,248
248,265
248,231
248,247
248,249
249,249
249,248
249,232
249,266
249,250
250,250
250,267
250,251
250,233
250,249
251,251
251,268
251,252
251,234
251,250
252,252
252,235
252,253
252,269
252,251
253,253
253,236
253,254
253,270
253,252
254,254
254,255
254,237
254,253
254,271
255,255
255,238
255,254
255,272
256,256
256,239
256,273
256,257
257,257
257,274
257,258
257,256
257,240
258,258
258,275
258,259
258,241
258,257
259,259
259,258
259,242
259,276
259,260
260,260
260,243
260,259
260,277
260,261
261,261
261,278
261,262
261,260
261,244
262,262
262,279
262,263
262,245
262,261
263,263
263,280
263,264
263,262
263,246
264,264
264,281
264,265
264,247
264,263
265,265
265,282
265,264
265,248
265,266
266,266
266,265
266,267
266,283
266,249
267,267
267,268
267,284
267,250
267,266
268,268
268,267
268,285
268,269
268,251
269,269
269,268
269,286
269,270
269,252
270,270
270,253
270,271
270,287
270,269
271,271
271,254
271,272
271,288
271,270
272,272
272,255
272,271
272,289
273,273
273,274
273,256
274,274
274,275
274,257
274,273
275,275
275,258
275,274
275,276
276,276
276,259
276,275
276,277
277,277
277,278
277,260
277,276
278,278
278,279
278,261
278,277
279,279
279,280
279,262
279,278
280,280
280,281
280,263
280,279
281,281
281,282
281,264
281,280
282,282
282,265
282,281
282,283
283,283
283,282
283,284
283,266
284,284
284,267
284,285
284,283
285,285
285,268
285,286
285,284
286,286
286,287
286,269
286,285
287,287
287,288
287,270
287,286
288,288
288,271
288,289
288,287
289,289
289,272
289,288
