R,food
1,2
2,2
3,2
4,3
5,4
6,11
7,4
8,2
9,3
10,2
11,6
12,5
13,3
14,5
15,2
16,6
17,11
18,5
19,3
20,4
21,3
22,3
23,11
24,4
25,5
26,3
27,2
28,4
29,5
30,11
31,11
32,5
33,2
34,11
35,2
36,4
37,5
38,4
39,2
40,3
41,4
42,5
43,4
44,3
45,5
46,4
47,3
48,5
49,11
50,2
51,11
52,4
53,3
54,3
55,4
56,4
57,4
58,4
59,5
60,5
61,5
62,4
63,4
64,11
65,4
66,11
67,3
68,6
69,2
70,4
71,2
72,3
73,11
74,5
75,5
76,5
77,5
78,5
79,3
80,4
81,4
82,4
83,4
84,5
85,11
86,6
87,5
88,2
89,4
90,3
91,4
92,11
93,11
94,5
95,5
96,4
97,2
98,5
99,4
100,4
101,11
102,2
103,6
104,11
105,2
106,3
107,4
108,4
109,5
110,4
111,5
112,5
113,5
114,3
115,3
116,11
117,6
118,5
119,11
120,3
121,2
122,11
123,3
124,5
125,5
126,4
127,5
128,4
129,5
130,4
131,5
132,3
133,11
134,5
135,6
136,5
137,5
138,2
139,2
140,4
141,2
142,5
143,3
144,4
145,3
146,5
147,3
148,3
149,2
150,3
151,4
152,5
153,5
154,5
155,5
156,2
157,3
158,3
159,3
160,3
161,5
162,3
163,4
164,3
165,3
166,5
167,4
168,3
169,4
170,3
171,3
172,2
173,11
174,2
175,2
176,5
177,2
178,5
179,2
180,4
181,3
182,4
183,3
184,6
185,11
186,6
187,4
188,5
189,2
190,2
191,6
192,2
193,11
194,2
195,2
196,3
197,3
198,2
199,2
200,4
201,6
202,3
203,4
204,6
205,3
206,11
207,4
208,6
209,6
210,2
211,3
212,5
213,3
214,4
215,2
216,4
217,11
218,6
219,5
220,2
221,6
222,6
223,11
224,1
225,3
226,2
227,2
228,4
229,4
230,2
231,5
232,6
233,4
234,5
235,2
236,2
237,2
238,5
239,4
240,3
241,4
242,6
243,6
244,4
245,3
246,2
247,2
248,6
249,11
250,2
251,2
252,2
253,2
254,11
255,2
256,11
257,2
258,3
259,5
260,3
261,6
262,3
263,4
264,4
265,5
266,4
267,5
268,3
269,3
270,3
271,6
272,3
273,3
274,2
275,2
276,6
277,2
278,3
279,2
280,11
281,3
282,5
283,5
284,6
285,6
286,4
287,6
288,6
289,2
