R,professional
1,6
2,4
3,4
4,11
5,2
6,11
7,3
8,3
9,11
10,4
11,3
12,3
13,6
14,4
15,4
16,3
17,3
18,2
19,2
20,2
21,4
22,11
23,3
24,3
25,3
26,11
27,4
28,4
29,2
30,2
31,4
32,11
33,6
34,4
35,11
36,2
37,2
38,4
39,4
40,11
41,11
42,2
43,11
44,2
45,2
46,2
47,4
48,2
49,11
50,6
51,6
52,3
53,11
54,3
55,11
56,4
57,11
58,2
59,2
60,11
61,3
62,3
63,3
64,2
65,2
66,2
67,11
68,6
69,5
70,5
71,11
72,4
73,4
74,11
75,11
76,11
77,3
78,3
79,3
80,3
81,4
82,3
83,3
84,2
85,2
86,1
87,2
88,4
89,4
90,4
91,4
92,2
93,11
94,2
95,2
96,11
97,2
98,11
99,3
100,2
101,6
102,2
103,6
104,2
105,4
106,2
107,3
108,11
109,2
110,3
111,2
112,2
113,11
114,3
115,4
116,3
117,3
118,2
119,2
120,3
121,4
122,3
123,11
124,11
125,5
126,3
127,11
128,3
129,3
130,11
131,11
132,5
133,2
134,6
135,6
136,2
137,2
138,4
139,2
140,4
141,3
142,3
143,3
144,3
145,4
146,2
147,3
148,11
149,6
150,4
151,2
152,3
153,6
154,6
155,4
156,4
157,5
158,4
159,4
160,4
161,3
162,5
163,11
164,11
165,3
166,4
167,11
168,5
169,3
170,11
171,11
172,11
173,11
174,4
175,11
176,2
177,3
178,2
179,4
180,11
181,5
182,11
183,5
184,2
185,4
186,2
187,4
188,3
189,4
190,6
191,6
192,4
193,2
194,4
195,11
196,4
197,2
198,11
199,6
200,6
201,6
202,4
203,2
204,6
205,6
206,6
207,6
208,6
209,6
210,11
211,3
212,4
213,4
214,2
215,6
216,3
217,6
218,6
219,3
220,4
221,6
222,3
223,11
224,4
225,3
226,11
227,6
228,3
229,11
230,5
231,3
232,4
233,6
234,2
235,3
236,11
237,11
238,6
239,3
240,4
241,11
242,2
243,2
244,11
245,11
246,4
247,4
248,2
249,2
250,6
251,6
252,6
253,3
254,2
255,11
256,2
257,11
258,6
259,6
260,6
261,6
262,4
263,3
264,4
265,4
266,11
267,4
268,4
269,3
270,4
271,6
272,6
273,3
274,11
275,6
276,3
277,2
278,6
279,5
280,2
281,5
282,6
283,3
284,3
285,6
286,6
287,11
288,6
289,4
