R,outdoors
1,4
2,11
3,5
4,4
5,4
6,3
7,5
8,3
9,4
10,11
11,6
12,11
13,5
14,3
15,4
16,3
17,5
18,3
19,3
20,4
21,3
22,11
23,2
24,2
25,3
26,3
27,2
28,5
29,6
30,3
31,5
32,4
33,3
34,5
35,11
36,4
37,5
38,4
39,4
40,11
41,5
42,3
43,11
44,6
45,5
46,11
47,11
48,5
49,2
50,11
51,6
52,11
53,11
54,4
55,5
56,11
57,11
58,4
59,3
60,5
61,3
62,4
63,4
64,2
65,3
66,2
67,4
68,6
69,4
70,11
71,5
72,4
73,2
74,3
75,3
76,3
77,3
78,2
79,2
80,2
81,3
82,3
83,3
84,11
85,11
86,3
87,2
88,11
89,11
90,11
91,4
92,2
93,2
94,3
95,3
96,4
97,3
98,2
99,2
100,5
101,2
102,6
103,3
104,2
105,11
106,4
107,11
108,5
109,4
110,4
111,4
112,3
113,4
114,11
115,2
116,4
117,4
118,4
119,4
120,6
121,4
122,3
123,4
124,4
125,2
126,11
127,11
128,4
129,4
130,11
131,3
132,2
133,3
134,3
135,2
136,4
137,3
138,11
139,3
140,11
141,5
142,2
143,11
144,3
145,4
146,4
147,4
148,4
149,2
150,11
151,11
152,3
153,2
154,1
155,3
156,11
157,5
158,4
159,4
160,11
161,3
162,5
163,5
164,4
165,11
166,3
167,5
168,5
169,5
170,6
171,6
172,5
173,11
174,11
175,11
176,3
177,11
178,4
179,4
180,11
181,5
182,4
183,3
184,3
185,2
186,2
187,11
188,3
189,11
190,2
191,6
192,11
193,2
194,11
195,5
196,3
197,4
198,5
199,11
200,6
201,2
202,3
203,2
204,2
205,6
206,6
207,2
208,2
209,2
210,2
211,4
212,2
213,5
214,3
215,11
216,3
217,2
218,2
219,11
220,4
221,2
222,3
223,11
224,4
225,5
226,4
227,11
228,2
229,2
230,3
231,11
232,11
233,2
234,6
235,6
236,3
237,4
238,2
239,6
240,11
241,6
242,2
243,6
244,2
245,3
246,11
247,11
248,11
249,6
250,3
251,11
252,6
253,6
254,4
255,6
256,6
257,3
258,11
259,2
260,4
261,2
262,2
263,2
264,4
265,2
266,4
267,2
268,3
269,11
270,3
271,2
272,6
273,4
274,6
275,6
276,2
277,6
278,11
279,4
280,3
281,5
282,2
283,3
284,3
285,3
286,2
287,2
288,2
289,5
