R,performing
1,3
2,3
3,3
4,5
5,3
6,3
7,5
8,3
9,5
10,5
11,3
12,3
13,3
14,5
15,2
16,5
17,3
18,3
19,5
20,3
21,5
22,3
23,3
24,3
25,5
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,2
37,5
38,3
39,3
40,2
41,2
42,3
43,5
44,3
45,3
46,5
47,3
48,5
49,3
50,3
51,3
52,3
53,3
54,5
55,2
56,3
57,3
58,5
59,5
60,5
61,3
62,5
63,5
64,3
65,3
66,3
67,5
68,3
69,3
70,2
71,5
72,3
73,3
74,2
75,5
76,5
77,5
78,5
79,5
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,2
90,2
91,2
92,5
93,1
94,5
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,5
106,5
107,2
108,2
109,5
110,3
111,2
112,5
113,5
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,5
126,2
127,5
128,5
129,5
130,5
131,3
132,5
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,5
141,3
142,3
143,2
144,3
145,5
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,5
157,5
158,5
159,3
160,2
161,5
162,2
163,3
164,5
165,5
166,3
167,5
168,2
169,3
170,3
171,3
172,3
173,3
174,3
175,5
176,3
177,5
178,5
179,3
180,3
181,5
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,5
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,5
213,5
214,3
215,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,3
245,5
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,5
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,3
