R,nightlife
1,3
2,9
3,2
4,3
5,3
6,4
7,4
8,2
9,3
10,2
11,5
12,5
13,3
14,4
15,2
16,5
17,3
18,3
19,2
20,2
21,3
22,3
23,4
24,4
25,2
26,9
27,4
28,9
29,2
30,5
31,3
32,3
33,2
34,4
35,2
36,3
37,4
38,9
39,9
40,4
41,9
42,9
43,9
44,2
45,3
46,3
47,4
48,3
49,4
50,2
51,9
52,1
53,3
54,9
55,9
56,4
57,9
58,3
59,9
60,9
61,3
62,2
63,2
64,3
65,4
66,4
67,2
68,5
69,4
70,4
71,3
72,4
73,5
74,9
75,9
76,9
77,9
78,3
79,3
80,9
81,9
82,9
83,5
84,9
85,4
86,5
87,4
88,3
89,4
90,4
91,9
92,3
93,9
94,2
95,3
96,2
97,9
98,3
99,3
100,5
101,4
102,5
103,5
104,3
105,3
106,3
107,4
108,4
109,9
110,4
111,3
112,3
113,9
114,4
115,4
116,4
117,9
118,5
119,5
120,4
121,2
122,4
123,4
124,9
125,4
126,9
127,9
128,9
129,3
130,2
131,9
132,9
133,9
134,5
135,5
136,3
137,5
138,2
139,3
140,3
141,4
142,4
143,2
144,3
145,2
146,2
147,2
148,2
149,3
150,4
151,5
152,5
153,5
154,5
155,5
156,3
157,9
158,9
159,3
160,2
161,9
162,2
163,3
164,2
165,3
166,2
167,3
168,4
169,3
170,2
171,5
172,4
173,9
174,4
175,9
176,3
177,2
178,9
179,2
180,2
181,3
182,2
183,3
184,5
185,5
186,5
187,2
188,5
189,4
190,5
191,5
192,3
193,5
194,2
195,3
196,3
197,2
198,2
199,4
200,5
201,5
202,9
203,9
204,2
205,5
206,9
207,5
208,4
209,5
210,5
211,2
212,9
213,9
214,2
215,2
216,3
217,4
218,5
219,4
220,2
221,5
222,5
223,5
224,5
225,4
226,3
227,2
228,9
229,2
230,4
231,4
232,5
233,5
234,2
235,4
236,3
237,9
238,5
239,5
240,4
241,5
242,5
243,5
244,2
245,9
246,2
247,9
248,2
249,9
250,5
251,4
252,4
253,2
254,9
255,2
256,5
257,4
258,5
259,5
260,9
261,5
262,4
263,2
264,9
265,4
266,4
267,4
268,5
269,3
270,2
271,2
272,5
273,5
274,3
275,5
276,5
277,3
278,2
279,3
280,5
281,4
282,5
283,2
284,5
285,3
286,4
287,5
288,5
289,2
