R,professional
1,2
2,11
3,3
4,3
5,3
6,5
7,2
8,4
9,5
10,3
11,3
12,2
13,5
14,3
15,2
16,3
17,2
18,4
19,2
20,6
21,11
22,3
23,11
24,4
25,4
26,2
27,3
28,3
29,2
30,1
31,2
32,11
33,11
34,2
35,2
36,2
37,4
38,5
39,2
40,3
41,4
42,4
43,11
44,2
45,4
46,2
47,11
48,11
49,2
50,2
51,3
52,11
53,11
54,5
55,3
56,11
57,11
58,11
59,5
60,3
61,4
62,5
63,11
64,2
65,4
66,11
67,5
68,5
69,4
70,4
71,4
72,5
73,4
74,3
75,11
76,4
77,5
78,3
79,2
80,11
81,5
82,4
83,4
84,5
85,5
86,11
87,3
88,5
89,11
90,4
91,3
92,11
93,3
94,5
95,4
96,5
97,4
98,5
99,3
100,5
