id,R
1,R1i
2,R2i
3,R3i
4,R4i
5,R5i
6,R6i
7,R7i
8,R8i
9,R9i
10,R10i
11,R11i
12,R12i
13,R13i
14,R14i
15,R15i
16,R16i
17,R17i
18,R18i
19,R19i
20,R20i
21,R21i
22,R22i
23,R23i
24,R24i
25,R25i
26,R26i
27,R27i
28,R28i
29,R29i
30,R30i
31,R31i
32,R32i
33,R33i
34,R34i
35,R35i
36,R36i
37,R37i
38,R38i
39,R39i
40,R40i
41,R41i
42,R42i
43,R43i
44,R44i
45,R45i
46,R46i
47,R47i
48,R48i
49,R49i
50,R50i
51,R51i
52,R52i
53,R53i
54,R54i
55,R55i
56,R56i
57,R57i
58,R58i
59,R59i
60,R60i
61,R61i
62,R62i
63,R63i
64,R64i
65,R65i
66,R66i
67,R67i
68,R68i
69,R69i
70,R70i
71,R71i
72,R72i
73,R73i
74,R74i
75,R75i
76,R76i
77,R77i
78,R78i
79,R79i
80,R80i
81,R81i
82,R82i
83,R83i
84,R84i
85,R85i
86,R86i
87,R87i
88,R88i
89,R89i
90,R90i
91,R91i
92,R92i
93,R93i
94,R94i
95,R95i
96,R96i
97,R97i
98,R98i
99,R99i
100,R100i
