R,shop
1,6
2,11
3,3
4,4
5,4
6,4
7,4
8,6
9,11
10,2
11,11
12,4
13,6
14,3
15,4
16,11
17,5
18,3
19,2
20,5
21,4
22,2
23,2
24,4
25,2
26,6
27,11
28,1
29,3
30,4
31,3
32,11
33,2
34,4
35,4
36,4
37,11
38,3
39,5
40,4
41,5
42,6
43,3
44,2
45,3
46,6
47,11
48,3
49,4
50,4
51,5
52,5
53,6
54,3
55,5
56,5
57,4
58,3
59,3
60,5
61,2
62,2
63,2
64,11
65,4
66,4
67,11
68,4
69,2
70,3
71,2
72,11
73,4
74,4
75,11
76,11
77,11
78,11
79,3
80,3
81,5
82,2
83,2
84,11
85,11
86,11
87,4
88,11
89,5
90,4
91,4
92,11
93,11
94,11
95,11
96,3
97,6
98,3
99,6
100,4
101,2
102,3
103,3
104,3
105,3
106,11
107,4
108,3
109,3
110,2
111,2
112,6
113,3
114,3
115,3
116,11
117,2
118,11
119,11
120,3
121,2
122,3
123,3
124,6
125,6
126,6
127,6
128,2
129,6
130,11
131,11
132,4
133,3
134,3
135,3
136,2
137,6
138,2
139,4
140,6
141,2
142,6
143,3
144,6
145,6
146,4
147,3
148,4
149,11
150,6
151,2
152,3
153,4
154,6
155,2
156,2
157,11
158,6
159,6
160,4
161,3
162,2
163,4
164,6
165,6
166,2
167,4
168,4
169,2
170,11
171,2
172,11
173,3
174,11
175,4
176,2
177,3
178,2
179,3
180,2
181,6
182,4
183,5
184,6
185,4
186,11
187,2
188,11
189,2
190,2
191,2
192,4
193,11
194,11
195,2
196,2
