R,event
1,3
2,3
3,2
4,3
5,2
6,3
7,3
8,3
9,3
10,3
11,3
12,2
13,3
14,3
15,3
16,2
17,2
18,3
19,3
20,2
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,2
31,3
32,2
33,3
34,5
35,2
36,2
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,2
49,2
50,5
51,2
52,2
53,3
54,2
55,2
56,1
57,3
58,3
59,5
60,2
61,5
62,2
63,2
64,5
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,2
75,3
76,2
77,2
78,2
79,2
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,2
90,3
91,2
92,2
93,3
94,2
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,2
104,2
105,3
106,3
107,3
108,3
109,2
110,2
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,2
122,2
123,2
124,3
125,3
126,3
127,3
128,3
129,3
130,2
131,3
132,3
133,2
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,2
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,2
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
