R,nightlife
1,4
2,11
3,3
4,4
5,4
6,3
7,11
8,3
9,6
10,5
11,3
12,2
13,4
14,3
15,2
16,4
17,11
18,3
19,4
20,11
21,2
22,11
23,11
24,2
25,6
26,3
27,2
28,5
29,3
30,11
31,4
32,4
33,4
34,3
35,4
36,11
37,3
38,4
39,3
40,11
41,2
42,2
43,11
44,4
45,4
46,5
47,3
48,3
49,3
50,3
51,11
52,2
53,11
54,4
55,3
56,5
57,4
58,11
59,4
60,4
61,3
62,1
63,2
64,2
65,2
66,4
67,3
68,5
69,5
70,6
71,4
72,4
73,2
74,4
75,4
76,3
77,11
78,2
79,2
80,4
81,4
82,11
83,6
84,6
85,3
86,3
87,4
88,11
89,6
90,11
91,3
92,11
93,2
94,3
95,3
96,4
97,6
98,3
99,6
100,5
101,11
102,5
103,3
104,3
105,3
106,2
107,2
108,2
109,11
110,4
111,4
112,11
113,6
114,5
115,11
116,4
117,2
118,2
119,3
120,2
121,2
122,2
123,4
124,6
125,3
126,2
127,6
128,11
129,6
130,11
131,4
132,2
133,11
134,2
135,2
136,4
137,3
138,11
139,3
140,2
141,6
142,2
143,6
144,2
145,2
146,3
147,2
148,11
149,2
150,11
151,11
152,6
153,11
154,3
155,6
156,6
157,5
158,6
159,2
160,4
161,11
162,11
163,11
164,6
165,6
166,4
167,3
168,3
169,5
170,6
171,6
172,6
173,5
174,2
175,3
176,11
177,6
178,4
179,11
180,3
181,2
182,2
183,5
184,4
185,6
186,4
187,3
188,11
189,4
190,5
191,2
192,4
193,11
194,4
195,6
196,2
