R,arts
1,9
2,5
3,3
4,4
5,2
6,2
7,4
8,9
9,5
10,4
11,4
12,2
13,2
14,5
15,3
16,3
17,9
18,3
19,2
20,3
21,4
22,9
23,5
24,2
25,5
26,4
27,3
28,5
29,4
30,3
31,4
32,2
33,3
34,9
35,2
36,9
37,9
38,9
39,9
40,5
41,4
42,5
43,3
44,4
45,9
46,2
47,2
48,2
49,2
50,2
51,2
52,4
53,5
54,3
55,2
56,2
57,4
58,3
59,2
60,4
61,9
62,1
63,2
64,9
65,3
66,4
67,9
68,5
69,3
70,3
71,3
72,2
73,3
74,3
75,2
76,2
77,2
78,2
79,2
80,9
81,3
82,5
83,5
84,5
85,5
86,4
87,4
88,9
89,2
90,3
91,2
92,9
93,2
94,2
95,3
96,9
97,5
98,5
99,5
100,9
101,9
102,9
103,2
104,9
105,4
106,4
107,4
108,3
109,9
110,2
111,9
112,5
113,5
114,5
115,4
116,9
117,2
118,3
119,4
120,3
121,2
122,9
123,3
124,2
125,3
126,5
127,2
128,4
129,5
130,9
131,3
132,9
133,2
134,4
135,9
136,9
137,2
138,9
139,2
140,5
141,2
142,5
143,5
144,9
145,3
146,5
147,4
148,3
149,3
150,5
151,4
152,5
153,4
154,5
155,5
156,4
157,5
158,5
159,5
160,3
161,5
162,4
163,3
164,5
165,9
166,5
167,3
168,5
169,5
170,5
171,5
172,5
173,4
174,3
175,9
176,4
177,3
178,9
179,5
180,4
181,5
182,5
183,5
184,5
185,9
186,9
187,3
188,9
189,4
190,3
191,3
192,2
193,9
194,3
195,5
196,4
