L,L
26,1
26,2
26,6
27,2
27,1
27,7
27,3
28,3
28,2
28,4
28,8
29,4
29,9
29,5
29,3
30,5
30,10
30,4
31,6
31,1
31,11
31,7
32,7
32,2
32,6
32,12
32,8
33,8
33,13
33,9
33,7
33,3
34,9
34,14
34,10
34,4
34,8
35,10
35,9
35,5
35,15
36,11
36,16
36,6
36,12
37,12
37,13
37,7
37,11
37,17
38,13
38,14
38,18
38,8
38,12
39,14
39,9
39,13
39,15
39,19
40,15
40,10
40,14
40,20
41,16
41,11
41,21
41,17
42,17
42,16
42,22
42,18
42,12
43,18
43,13
43,23
43,19
43,17
44,19
44,14
44,24
44,20
44,18
45,20
45,25
45,15
45,19
46,21
46,16
46,22
47,22
47,23
47,17
47,21
48,23
48,24
48,18
48,22
49,24
49,25
49,19
49,23
50,25
50,20
50,24
51,26
51,27
51,31
52,27
52,26
52,32
52,28
53,28
53,27
53,29
53,33
54,29
54,34
54,30
54,28
55,30
55,35
55,29
56,31
56,26
56,36
56,32
57,32
57,27
57,31
57,37
57,33
58,33
58,38
58,34
58,32
58,28
59,34
59,39
59,35
59,29
59,33
60,35
60,34
60,30
60,40
61,36
61,41
61,31
61,37
62,37
62,38
62,32
62,36
62,42
63,38
63,39
63,43
63,33
63,37
64,39
64,34
64,38
64,40
64,44
65,40
65,35
65,39
65,45
66,41
66,36
66,46
66,42
67,42
67,41
67,47
67,43
67,37
68,43
68,38
68,48
68,44
68,42
69,44
69,39
69,49
69,45
69,43
70,45
70,50
70,40
70,44
71,46
71,41
71,47
72,47
72,48
72,42
72,46
73,48
73,49
73,43
73,47
74,49
74,50
74,44
74,48
75,50
75,45
75,49
