R,food
1,2
2,5
3,2
4,2
5,2
6,3
7,4
8,3
9,9
10,2
11,2
12,4
13,3
14,3
15,5
16,3
17,9
18,3
19,4
20,3
21,9
22,4
23,5
24,2
25,2
26,3
27,2
28,4
29,2
30,9
31,9
32,5
33,9
34,4
35,4
36,2
37,5
38,3
39,9
40,5
41,4
42,9
43,3
44,3
45,3
46,5
47,3
48,3
49,9
50,4
51,4
52,2
53,3
54,3
55,9
56,4
57,3
58,3
59,3
60,4
61,5
62,9
63,9
64,5
65,9
66,4
67,5
68,2
69,9
70,2
71,3
72,9
73,3
74,4
75,3
76,2
77,3
78,4
79,4
80,9
81,4
82,4
83,4
84,9
85,3
86,2
87,5
88,9
89,4
90,9
91,3
92,5
93,4
94,2
95,9
96,2
97,4
98,9
99,3
100,4
101,4
102,9
103,4
104,9
105,4
106,3
107,9
108,3
109,9
110,9
111,4
112,5
113,3
114,5
115,5
116,2
117,2
118,3
119,2
120,3
121,5
122,4
123,3
124,3
125,9
126,9
127,9
128,4
129,9
130,2
131,3
132,9
133,3
134,4
135,9
136,3
137,9
138,5
139,5
140,4
141,4
142,2
143,3
144,4
145,9
146,9
147,9
148,9
149,9
150,4
151,4
152,9
153,4
154,4
155,3
156,3
157,3
158,3
159,9
160,4
161,9
162,5
163,4
164,3
165,3
166,3
167,4
168,3
169,9
170,9
171,9
172,9
173,4
174,9
175,9
176,4
177,2
178,4
179,9
180,9
181,5
182,9
183,9
184,3
185,5
186,3
187,2
188,2
189,3
190,4
191,4
192,4
193,9
194,9
195,9
196,9
197,9
198,9
199,4
200,3
201,2
202,4
203,9
204,5
205,5
206,3
207,5
208,5
209,5
210,4
211,3
212,2
213,2
214,4
215,3
216,4
217,9
218,4
219,9
220,4
221,9
222,3
223,9
224,9
225,2
226,5
227,5
228,5
229,5
230,4
231,3
232,3
233,2
234,9
235,4
236,9
237,3
238,2
239,5
240,4
241,9
242,4
243,9
244,4
245,3
246,9
247,3
248,3
249,4
250,9
251,5
252,5
253,5
254,9
255,3
256,2
257,2
258,4
259,2
260,2
261,9
262,3
263,4
264,4
265,3
266,9
267,3
268,9
269,3
270,2
271,4
272,5
273,3
274,5
275,5
276,5
277,4
278,9
279,5
280,2
281,4
282,2
283,3
284,3
285,4
286,9
287,3
288,2
289,3
290,3
291,9
292,3
293,9
294,5
295,3
296,3
297,3
298,5
299,2
300,9
301,2
302,4
303,2
304,3
305,2
306,2
307,4
308,3
309,9
310,4
311,3
312,2
313,2
314,4
315,4
316,9
317,9
318,9
319,9
320,9
321,5
322,3
323,2
324,5
325,3
326,4
327,2
328,3
329,2
330,5
331,2
332,9
333,4
334,2
335,3
336,3
337,3
338,3
339,3
340,3
341,5
342,5
343,5
344,5
345,3
346,5
347,5
348,2
349,2
350,5
351,2
352,3
353,9
354,2
355,3
356,3
357,9
358,2
359,9
360,2
361,2
362,3
363,5
364,5
365,3
366,3
367,5
368,5
369,4
370,5
371,5
372,4
373,5
374,5
375,5
376,2
377,3
378,2
379,4
380,2
381,3
382,2
383,2
384,3
385,5
386,5
387,5
388,3
389,3
390,3
391,5
392,5
393,3
394,5
395,5
396,5
397,5
398,3
399,5
400,3
401,5
402,2
403,2
404,5
405,5
406,5
407,4
408,5
409,2
410,4
411,2
412,2
413,2
414,5
415,5
416,9
417,5
418,1
419,2
420,5
421,2
422,2
423,3
424,5
425,5
426,5
427,9
428,5
429,5
430,5
431,4
432,5
433,2
434,3
435,5
436,3
437,4
438,9
439,2
440,5
441,2
442,5
443,5
444,5
445,9
446,2
447,2
448,2
449,2
450,2
451,5
452,9
453,5
454,2
455,3
456,2
457,2
458,5
459,2
460,2
461,4
462,2
463,3
464,4
465,5
466,4
467,5
468,4
469,4
470,5
471,3
472,4
473,4
474,9
475,3
476,4
477,5
478,2
479,3
480,2
481,5
482,4
483,4
484,5
485,2
486,2
487,2
488,5
489,5
490,2
491,3
492,2
493,2
494,4
495,2
496,3
497,2
498,4
499,4
500,2
501,5
502,2
503,2
504,5
505,5
506,4
507,2
508,5
509,5
510,2
511,5
512,5
513,2
514,5
515,2
516,9
517,4
518,3
519,4
520,4
521,9
522,5
523,5
524,5
525,4
526,5
527,5
528,5
529,2
