R,outdoors
1,9
2,5
3,9
4,9
5,9
6,9
7,5
8,2
9,5
10,3
11,9
12,5
13,5
14,5
15,5
16,9
17,5
18,4
19,3
20,4
21,2
22,5
23,3
24,5
25,2
26,3
27,3
28,3
29,4
30,2
31,2
32,3
33,3
34,2
35,2
36,3
37,2
38,5
39,5
40,3
41,5
42,2
43,9
44,2
45,9
46,2
47,2
48,4
49,2
50,4
51,9
52,4
53,9
54,9
55,3
56,9
57,3
58,4
59,3
60,5
61,3
62,5
63,3
64,5
65,5
66,3
67,5
68,5
69,5
70,4
71,9
72,9
73,4
74,3
75,9
76,9
77,9
78,4
79,9
80,2
81,4
82,5
83,5
84,4
85,3
86,4
87,5
88,3
89,3
90,9
91,2
92,5
93,3
94,4
95,4
96,4
97,4
98,4
99,4
100,9
101,3
102,3
103,4
104,4
105,3
106,9
107,5
108,9
109,2
110,2
111,3
112,5
113,3
114,5
115,5
116,4
117,4
118,3
119,3
120,4
121,2
122,2
123,3
124,3
125,2
126,3
127,4
128,9
129,2
130,3
131,3
132,2
133,2
134,2
135,2
136,4
137,5
138,2
139,9
140,4
141,4
142,4
143,9
144,3
145,9
146,9
147,9
148,3
149,2
150,3
151,3
152,2
153,3
154,2
155,2
156,2
157,4
158,5
159,2
160,4
161,4
162,2
163,3
164,2
165,4
166,3
167,9
168,9
169,3
170,2
171,2
172,9
173,9
174,2
175,3
176,4
177,9
178,9
179,3
180,2
181,9
182,9
183,3
184,5
185,5
186,2
187,4
188,4
189,3
190,3
191,9
192,4
193,4
194,9
195,3
196,3
197,3
198,2
199,4
200,9
201,3
202,2
203,5
204,5
205,5
206,9
207,5
208,5
209,2
210,3
211,9
212,4
213,9
214,5
215,3
216,9
217,3
218,9
219,4
220,3
221,3
222,9
223,2
224,3
225,2
226,4
227,9
228,3
229,5
230,3
231,5
232,2
233,9
234,4
235,3
236,4
237,3
238,9
239,9
240,4
241,9
242,9
243,3
244,9
245,4
246,9
247,2
248,4
249,2
250,9
251,3
252,2
253,2
254,2
255,5
256,2
257,9
258,9
259,3
260,4
261,9
262,4
263,2
264,9
265,9
266,9
267,9
268,9
269,4
270,3
271,2
272,9
273,4
274,3
275,2
276,5
277,3
278,2
279,5
280,9
281,4
282,9
283,3
284,3
285,3
286,4
287,9
288,4
289,4
290,4
291,2
292,9
293,3
294,3
295,5
296,9
297,4
298,3
299,5
300,3
301,9
302,9
303,3
304,3
305,4
306,9
307,3
308,9
309,3
310,3
311,9
312,4
313,9
314,9
315,4
316,5
317,2
318,9
319,5
320,5
321,2
322,9
323,5
324,2
325,5
326,5
327,4
328,5
329,3
330,4
331,4
332,5
333,9
334,9
335,9
336,4
337,4
338,2
339,4
340,2
341,2
342,2
343,5
344,5
345,5
346,2
347,5
348,9
349,2
350,5
351,4
352,4
353,2
354,4
355,9
356,9
357,2
358,5
359,3
360,4
361,4
362,5
363,2
364,5
365,2
366,9
367,3
368,2
369,5
370,5
371,2
372,2
373,5
374,1
375,2
376,2
377,5
378,9
379,3
380,5
381,4
382,4
383,9
384,9
385,2
386,5
387,2
388,9
389,2
390,2
391,5
392,3
393,5
394,5
395,5
396,2
397,2
398,5
399,5
400,2
401,3
402,5
403,3
404,2
405,5
406,5
407,3
408,2
409,5
410,5
411,5
412,3
413,4
414,5
415,5
416,4
417,2
418,4
419,9
420,5
421,3
422,9
423,9
424,5
425,2
426,2
427,3
428,5
429,9
430,2
431,5
432,5
433,5
434,2
435,3
436,5
437,3
438,5
439,4
440,2
441,5
442,2
443,5
444,5
445,2
446,5
447,9
448,3
449,5
450,4
451,5
452,5
453,2
454,5
455,9
456,5
457,5
458,5
459,9
460,5
461,5
462,4
463,3
464,9
465,5
466,2
467,3
468,3
469,3
470,2
471,5
472,3
473,3
474,9
475,4
476,2
477,5
478,4
479,4
480,4
481,2
482,5
483,5
484,5
485,9
486,3
487,5
488,5
489,5
490,9
491,3
492,4
493,5
494,3
495,4
496,2
497,5
498,4
499,3
500,5
501,2
502,3
503,3
504,5
505,5
506,5
507,5
508,2
509,5
510,5
511,2
512,5
513,5
514,2
515,2
516,2
517,3
518,4
519,2
520,3
521,2
522,2
523,5
524,3
525,2
526,5
527,2
528,5
529,4
