R,college
1,3
2,3
3,3
4,2
5,2
6,3
7,5
8,3
9,3
10,5
11,3
12,3
13,3
14,3
15,3
16,3
17,5
18,5
19,3
20,2
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,2
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,5
43,5
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,2
52,2
53,5
54,3
55,3
56,2
57,5
58,3
59,3
60,3
61,3
62,3
63,3
64,5
65,3
66,3
67,3
68,3
69,3
70,5
71,2
72,3
73,3
74,5
75,5
76,2
77,2
78,5
79,5
80,3
81,5
82,2
83,3
84,3
85,3
86,3
87,3
88,5
89,3
90,3
91,3
92,3
93,2
94,3
95,3
96,3
97,5
98,5
99,2
100,5
101,2
102,2
103,3
104,5
105,5
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,2
114,3
115,3
116,2
117,5
118,5
119,3
120,3
121,3
122,3
123,3
124,5
125,5
126,5
127,5
128,5
129,5
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,5
143,3
144,3
145,3
146,2
147,5
148,5
149,5
150,2
151,2
152,3
153,5
154,2
155,3
156,3
157,5
158,3
159,3
160,3
161,3
162,5
163,2
164,3
165,3
166,2
167,3
168,2
169,5
170,5
171,5
172,5
173,2
174,5
175,5
176,5
177,2
178,2
179,5
180,3
181,5
182,3
183,3
184,3
185,3
186,3
187,3
188,2
189,2
190,2
191,2
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,3
201,5
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,2
211,3
212,3
213,2
214,5
215,5
216,5
217,1
218,5
219,5
220,5
221,5
222,3
223,3
224,5
225,5
226,3
227,5
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,2
240,2
241,5
242,5
243,5
244,5
245,2
246,2
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,5
260,3
261,3
262,2
263,5
264,2
265,3
266,5
267,5
268,5
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,5
283,3
284,3
285,2
286,5
287,3
288,2
289,3
290,3
291,3
292,5
293,3
294,3
295,3
296,3
297,2
298,3
299,3
300,3
301,3
302,3
303,2
304,3
305,5
306,3
307,5
308,5
309,5
310,2
311,5
312,3
313,2
314,3
315,3
316,3
317,3
318,3
319,3
320,5
321,5
322,3
323,3
324,3
325,3
326,3
327,2
328,5
329,3
330,3
331,2
332,3
333,5
334,2
335,2
336,2
337,3
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,3
350,5
351,3
352,3
353,5
354,3
355,5
356,5
357,3
358,3
359,3
360,3
361,5
362,3
363,3
364,3
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,3
376,3
377,3
378,3
379,2
380,3
381,3
382,3
383,3
384,5
385,5
386,3
387,3
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,5
402,2
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,5
436,3
437,3
438,5
439,3
440,3
441,3
442,3
443,3
444,3
445,3
446,3
447,3
448,3
449,3
450,3
451,3
452,5
453,3
454,3
455,3
456,3
457,3
458,3
459,3
460,3
461,3
462,3
463,3
464,5
465,5
466,3
467,3
468,3
469,3
470,3
471,3
472,3
473,3
474,3
475,5
476,3
477,3
478,3
479,3
480,3
481,3
482,3
483,3
484,5
485,5
486,3
487,3
488,3
489,3
490,3
491,3
492,2
493,3
494,3
495,3
496,3
497,3
498,3
499,2
500,3
501,3
502,3
503,5
504,3
505,3
506,3
507,5
508,3
509,3
510,3
511,3
512,3
513,3
514,3
515,5
516,3
517,5
518,2
519,3
520,3
521,2
522,3
523,3
524,3
525,3
526,3
527,3
528,3
529,3
