R,travel
1,3
2,5
3,5
4,4
5,4
6,9
7,3
8,9
9,2
10,5
11,5
12,5
13,9
14,5
15,2
16,3
17,3
18,3
19,9
20,3
21,5
22,3
23,5
24,5
25,5
26,9
27,4
28,9
29,9
30,5
31,3
32,2
33,9
34,3
35,9
36,5
37,5
38,3
39,5
40,5
41,3
42,9
43,3
44,2
45,2
46,5
47,5
48,4
49,3
50,3
51,2
52,3
53,4
54,9
55,2
56,3
57,4
58,3
59,9
60,2
61,5
62,9
63,3
64,5
65,2
66,3
67,5
68,5
69,3
70,9
71,3
72,9
73,2
74,2
75,2
76,9
77,2
78,2
79,9
80,2
81,2
82,2
83,9
84,9
85,5
86,9
87,3
88,9
89,9
90,2
91,5
92,5
93,5
94,2
95,9
96,9
97,3
98,9
99,9
100,9
101,3
102,9
103,3
104,3
105,9
106,3
107,2
108,2
109,9
110,9
111,9
112,5
113,2
114,5
115,5
116,3
117,9
118,3
119,3
120,9
121,4
122,3
123,2
124,3
125,9
126,2
127,3
128,9
129,2
130,4
131,3
132,2
133,2
134,9
135,3
136,9
137,2
138,2
139,3
140,4
141,5
142,3
143,2
144,2
145,2
146,2
147,3
148,2
149,3
150,9
151,3
152,3
153,3
154,3
155,3
156,9
157,3
158,2
159,2
160,2
161,3
162,5
163,5
164,3
165,4
166,2
167,1
168,2
169,2
170,3
171,2
172,9
173,9
174,3
175,9
176,3
177,9
178,3
179,5
180,3
181,2
182,2
183,5
184,5
185,5
186,3
187,9
188,4
189,9
190,3
191,2
192,2
193,9
194,2
195,3
196,9
197,9
198,2
199,4
200,4
201,4
202,5
203,9
204,5
205,5
206,5
207,2
208,2
209,5
210,5
211,2
212,2
213,9
214,2
215,9
216,3
217,2
218,9
219,4
220,9
221,9
222,4
223,3
224,4
225,4
226,2
227,3
228,2
229,5
230,5
231,2
232,2
233,4
234,2
235,2
236,3
237,3
238,5
239,2
240,2
241,2
242,9
243,4
244,4
245,4
246,9
247,9
248,3
249,5
250,9
251,2
252,3
253,5
254,3
255,3
256,3
257,4
258,2
259,9
260,5
261,5
262,9
263,4
264,4
265,4
266,4
267,9
268,5
269,4
270,5
271,4
272,5
273,3
274,2
275,2
276,5
277,5
278,2
279,3
280,5
281,3
282,9
283,9
284,4
285,9
286,9
287,9
288,4
289,3
290,4
291,5
292,9
293,9
294,5
295,4
296,9
297,9
298,3
299,5
300,2
301,9
302,2
303,9
304,3
305,3
306,4
307,3
308,4
309,3
310,9
311,9
312,2
313,9
314,4
315,2
316,9
317,2
318,5
319,2
320,2
321,2
322,2
323,2
324,2
325,3
326,9
327,9
328,2
329,9
330,5
331,9
332,9
333,3
334,4
335,4
336,4
337,5
338,5
339,5
340,3
341,3
342,5
343,5
344,5
345,3
346,5
347,3
348,2
349,3
350,5
351,4
352,9
353,9
354,3
355,2
356,9
357,4
358,9
359,5
360,4
361,3
362,2
363,5
364,5
365,4
366,5
367,5
368,5
369,5
370,2
371,5
372,5
373,2
374,5
375,5
376,5
377,5
378,3
379,5
380,3
381,3
382,5
383,5
384,9
385,5
386,5
387,5
388,3
389,3
390,5
391,5
392,5
393,5
394,5
395,5
396,5
397,5
398,5
399,5
400,4
401,2
402,9
403,9
404,2
405,5
406,3
407,5
408,5
409,5
410,5
411,3
412,3
413,5
414,5
415,5
416,2
417,5
418,5
419,2
420,5
421,5
422,5
423,3
424,3
425,3
426,5
427,3
428,2
429,3
430,5
431,5
432,5
433,2
434,9
435,3
436,3
437,3
438,2
439,4
440,2
441,5
442,5
443,5
444,5
445,5
446,3
447,4
448,4
449,3
450,4
451,5
452,3
453,5
454,5
455,2
456,5
457,5
458,2
459,3
460,9
461,5
462,2
463,3
464,5
465,5
466,5
467,2
468,5
469,3
470,5
471,4
472,3
473,5
474,5
475,3
476,5
477,2
478,9
479,3
480,5
481,5
482,2
483,5
484,5
485,5
486,5
487,3
488,5
489,5
490,3
491,5
492,4
493,5
494,9
495,2
496,3
497,5
498,9
499,2
500,2
501,5
502,5
503,5
504,2
505,5
506,5
507,5
508,5
509,2
510,5
511,5
512,5
513,2
514,2
515,9
516,5
517,5
518,4
519,5
520,3
521,4
522,5
523,5
524,5
525,5
526,5
527,5
528,5
529,4
