R,residence
1,4
2,4
3,2
4,3
5,3
6,2
7,3
8,7
9,2
10,2
11,2
12,2
13,3
14,2
15,2
16,3
17,3
18,3
19,2
20,3
21,4
22,4
23,2
24,4
25,4
26,4
27,4
28,4
29,7
30,7
31,7
32,4
33,7
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,3
42,3
43,4
44,4
45,4
46,4
47,4
48,3
49,3
50,7
51,3
52,7
53,3
54,3
55,7
56,2
57,2
58,2
59,3
60,3
61,3
62,4
63,2
64,2
65,2
66,4
67,4
68,3
69,3
70,4
71,7
72,4
73,7
74,3
75,7
76,3
77,4
78,4
79,7
80,3
81,7
82,4
83,3
84,4
85,4
86,3
87,1
88,4
89,3
90,4
91,3
92,4
93,3
94,4
95,2
96,7
97,2
98,2
99,2
100,3
101,3
102,7
103,7
104,2
105,2
106,3
107,2
108,7
109,2
110,2
111,2
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,3
121,4
122,7
123,7
124,7
125,4
126,7
127,7
128,4
129,4
130,4
131,4
132,4
133,7
134,7
135,3
136,4
137,4
138,2
139,2
140,7
141,7
142,7
143,2
144,2
145,2
146,7
147,3
148,3
149,3
150,2
151,3
152,7
153,2
154,3
155,2
156,2
157,3
158,2
159,4
160,2
161,7
162,4
163,7
164,4
165,7
166,3
167,3
168,3
169,7
170,7
171,3
172,4
173,7
174,4
175,4
176,3
177,3
178,7
179,3
180,3
181,2
182,4
183,4
184,4
185,4
186,7
187,2
188,3
189,3
190,2
191,2
192,2
193,2
194,3
195,2
196,3
197,3
198,3
199,3
200,2
201,3
202,2
203,2
204,4
205,4
206,3
207,4
208,4
209,4
210,7
211,7
212,7
213,7
214,7
215,7
216,4
217,7
218,7
219,7
220,3
221,7
222,7
223,4
224,7
225,7
226,4
227,3
228,4
229,4
230,4
231,7
232,3
233,3
234,2
235,2
236,3
237,2
238,3
239,4
240,7
241,3
242,2
243,2
244,2
245,3
246,2
247,2
248,2
249,2
250,2
251,2
252,4
253,4
254,4
255,4
256,4
257,4
258,7
259,4
260,7
261,4
262,4
263,4
264,7
265,4
266,7
267,7
268,2
269,4
270,4
271,3
272,4
273,3
274,4
275,4
276,4
277,3
278,4
279,2
280,7
281,2
282,2
283,4
284,7
285,3
286,2
287,2
288,3
289,2
290,2
291,2
292,3
293,2
294,3
295,7
296,4
297,3
298,2
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,7
307,4
308,7
309,7
310,7
311,4
312,4
313,7
314,4
315,7
316,3
317,3
318,4
319,3
320,3
321,4
322,4
323,4
324,4
325,7
326,2
327,2
328,7
329,7
330,4
331,7
332,2
333,2
334,7
335,2
336,2
337,7
338,3
339,2
340,3
341,4
342,4
343,2
344,2
345,3
346,4
347,4
348,4
349,4
350,4
351,4
352,7
353,4
354,4
355,4
356,7
357,3
358,4
359,4
360,4
361,7
362,4
363,4
364,4
365,4
366,4
367,4
368,4
369,3
370,4
371,4
372,3
373,2
374,3
375,4
376,4
377,4
378,2
379,2
380,2
381,3
382,2
383,7
384,7
385,4
386,4
387,4
388,7
389,3
390,4
391,4
392,4
393,4
394,4
395,4
396,4
397,4
398,4
399,4
400,4
401,4
402,7
403,4
404,4
405,4
406,4
407,3
408,4
409,4
410,4
411,4
412,4
413,4
414,4
415,4
416,7
417,4
418,4
419,3
420,4
421,4
422,3
423,3
424,2
425,2
426,2
427,2
428,2
429,2
430,4
431,4
432,2
433,3
434,4
435,4
436,3
437,4
438,4
439,4
440,3
441,4
442,4
443,4
444,4
445,4
446,4
447,4
448,4
449,4
450,4
451,4
452,4
453,4
454,4
455,4
456,4
457,4
458,4
459,4
460,4
461,4
462,7
463,3
464,2
465,4
466,3
467,2
468,3
469,3
470,2
471,2
472,2
473,2
474,2
475,4
476,4
477,4
478,4
479,4
480,7
481,4
482,2
483,3
484,4
485,4
486,4
487,4
488,2
489,4
490,4
491,4
492,4
493,4
494,3
495,7
496,4
497,4
498,7
499,4
500,4
501,2
502,4
503,4
504,4
505,4
506,4
507,3
508,2
509,4
510,3
511,3
512,4
513,4
514,4
515,3
516,4
517,3
518,3
519,4
520,3
521,3
522,2
523,4
524,2
525,4
526,4
527,4
528,2
529,4
